# gas storage file
# Austria
# date	percent full	injection	withdrawal
2011-01-02	55.50	1.30	135.70
2011-01-03	54.96	0.43	217.10
2011-01-04	54.42	0.20	220.50
2011-01-05	53.81	1.10	249.10
2011-01-06	53.28	2.59	215.70
2011-01-07	52.94	4.05	143.00
2011-01-08	52.76	2.06	74.40
2011-01-09	52.56	1.08	83.70
2011-01-10	52.20	0.37	147.10
2011-01-11	51.85	2.54	143.30
2011-01-12	51.63	4.53	94.00
2011-01-13	51.47	1.79	67.80
2011-01-14	51.38	3.39	37.20
2011-01-15	51.42	25.97	10.20
2011-01-16	51.42	8.15	10.20
2011-01-17	51.16	4.55	107.40
2011-01-18	50.99	6.88	75.90
2011-01-19	50.71	5.46	122.50
2011-01-20	50.45	3.78	107.30
2011-01-21	50.24	27.48	112.80
2011-01-22	49.90	4.92	144.00
2011-01-23	49.54	4.18	149.40
2011-01-24	49.10	5.37	185.10
2011-01-25	48.82	6.76	120.20
2011-01-26	48.54	6.86	120.20
2011-01-27	48.34	32.35	114.10
2011-01-28	47.82	6.05	215.60
2011-01-29	47.36	11.53	197.80
2011-01-30	46.91	4.00	187.90
2011-01-31	46.29	3.55	252.60
2011-02-01	45.61	5.57	282.60
2011-02-02	44.96	6.58	268.90
2011-02-03	44.42	7.03	229.00
2011-02-04	44.12	10.81	129.70
2011-02-05	44.12	10.99	11.10
2011-02-06	44.11	10.41	14.30
2011-02-07	44.03	9.54	45.70
2011-02-08	43.93	10.36	49.10
2011-02-09	43.75	9.77	83.70
2011-02-10	43.58	8.47	75.80
2011-02-11	43.52	9.50	33.70
2011-02-12	43.53	11.49	9.20
2011-02-13	43.20	9.50	144.00
2011-02-14	42.97	10.94	102.50
2011-02-15	42.72	12.25	112.40
2011-02-16	42.45	12.58	124.20
2011-02-17	42.20	12.46	113.80
2011-02-18	41.98	14.99	103.00
2011-02-19	41.87	12.26	55.90
2011-02-20	41.69	12.65	85.80
2011-02-21	41.26	12.29	188.50
2011-02-22	40.96	11.75	133.60
2011-02-23	40.48	12.54	205.90
2011-02-24	40.29	131.64	208.90
2011-02-25	39.87	14.61	185.50
2011-02-26	39.65	13.43	103.70
2011-02-27	39.50	11.35	73.30
2011-02-28	39.27	14.45	106.90
2011-03-01	39.09	14.05	87.50
2011-03-02	38.92	11.62	78.80
2011-03-03	38.76	11.89	76.00
2011-03-04	38.64	19.92	68.70
2011-03-05	38.61	20.72	33.90
2011-03-06	38.57	21.25	39.80
2011-03-07	38.41	18.03	81.10
2011-03-08	38.29	17.64	65.10
2011-03-09	38.06	22.77	116.20
2011-03-10	38.04	18.89	30.40
2011-03-11	38.01	16.41	27.90
2011-03-12	38.11	44.68	1.60
2011-03-13	38.30	77.45	0.10
2011-03-14	38.43	53.30	2.60
2011-03-15	38.66	94.33	1.50
2011-03-16	38.92	111.36	3.00
2011-03-17	39.05	53.64	3.70
2011-03-18	39.11	28.29	4.50
2011-03-19	39.16	31.82	10.20
2011-03-20	39.25	40.70	4.70
2011-03-21	39.16	14.52	50.70
2011-03-22	39.16	18.35	19.70
2011-03-23	39.23	37.02	7.00
2011-03-24	39.36	53.23	1.20
2011-03-25	39.55	78.89	0.90
2011-03-26	40.13	236.71	0.00
2011-03-27	39.98	89.88	153.90
2011-03-28	40.06	34.90	0.60
2011-03-29	40.22	69.01	5.30
2011-03-30	40.38	69.17	2.70
2011-03-31	40.58	82.30	1.20
2011-04-01	41.07	200.19	1.50
2011-04-02	41.69	255.46	3.30
2011-04-03	42.36	276.38	3.70
2011-04-04	42.81	187.82	5.20
2011-04-05	43.33	216.87	9.00
2011-04-06	43.86	221.05	6.30
2011-04-07	44.51	270.56	3.60
2011-04-08	45.21	284.41	2.30
2011-04-09	45.90	280.67	1.40
2011-04-10	46.65	303.91	0.00
2011-04-11	47.21	228.04	0.00
2011-04-12	47.66	184.25	0.00
2011-04-13	38.89	180.11	0.20
2011-04-14	39.43	283.77	2.10
2011-04-15	39.75	166.63	0.50
2011-04-16	40.25	264.70	0.60
2011-04-17	40.79	283.04	0.20
2011-04-18	41.25	236.85	0.80
2011-04-19	41.74	257.47	0.20
2011-04-20	42.29	287.45	1.00
2011-04-21	42.83	285.83	1.40
2011-04-22	43.50	352.91	2.20
2011-04-23	43.94	387.96	160.90
2011-04-24	44.72	412.62	0.30
2011-04-25	45.49	401.09	0.30
2011-04-26	46.01	274.49	1.00
2011-04-27	46.52	265.64	2.80
2011-04-28	47.14	328.80	2.50
2011-04-29	47.74	317.07	1.60
2011-04-30	48.39	343.26	2.20
2011-05-01	48.90	270.75	3.50
2011-05-02	49.23	179.23	6.40
