# gas storage file
# Belgium
# date	percent full	injection	withdrawal
2011-01-02	63.17	0.00	21.90
2011-01-03	62.93	0.00	23.90
2011-01-04	62.66	0.00	67.40
2011-01-05	62.07	0.00	34.70
2011-01-06	61.68	0.00	23.10
2011-01-07	61.42	0.00	13.90
2011-01-08	61.37	0.00	4.60
2011-01-09	61.36	0.00	0.30
2011-01-10	61.38	0.00	41.30
2011-01-11	61.36	0.00	58.60
2011-01-12	60.99	0.00	72.30
2011-01-13	60.34	0.00	86.90
2011-01-14	59.39	0.02	0.00
2011-01-15	58.54	0.02	0.00
2011-01-16	58.53	0.02	0.00
2011-01-17	58.51	0.02	0.00
2011-01-18	58.46	0.00	0.20
2011-01-19	58.40	0.00	28.70
2011-01-20	58.31	0.00	50.20
2011-01-21	58.04	0.00	65.50
2011-01-22	57.30	0.00	58.20
2011-01-23	56.64	0.00	53.40
2011-01-24	55.92	0.00	60.20
2011-01-25	55.43	0.00	80.80
2011-01-26	54.75	0.00	69.60
2011-01-27	53.85	0.00	112.30
2011-01-28	53.07	0.00	128.10
2011-01-29	51.57	0.00	110.30
2011-01-30	50.12	0.00	99.70
2011-01-31	49.08	0.00	123.00
2011-02-01	47.93	0.00	132.10
2011-02-02	46.44	0.00	117.00
2011-02-03	45.20	0.00	95.90
2011-02-04	43.94	0.00	89.70
2011-02-05	42.81	0.00	4.40
2011-02-06	41.89	0.00	42.20
2011-02-07	41.83	0.00	54.80
2011-02-08	41.39	0.00	35.30
2011-02-09	40.62	0.00	5.70
2011-02-10	40.44	0.02	0.00
2011-02-11	40.42	0.00	33.20
2011-02-12	40.40	0.00	35.60
2011-02-13	40.05	0.00	31.90
2011-02-14	39.60	0.00	46.90
2011-02-15	39.16	0.00	98.90
2011-02-16	38.69	0.00	16.60
2011-02-17	37.66	0.00	23.40
2011-02-18	37.48	0.00	59.00
2011-02-19	37.34	0.00	63.10
2011-02-20	36.42	0.00	41.90
2011-02-21	35.74	0.00	48.60
2011-02-22	35.24	0.00	90.50
2011-02-23	34.64	0.00	113.80
2011-02-24	33.84	0.00	99.90
2011-02-25	32.49	0.00	91.60
2011-02-26	31.40	0.00	21.20
2011-02-27	30.42	0.00	41.00
2011-02-28	30.19	0.00	1.00
2011-03-01	29.85	0.00	14.90
2011-03-02	29.82	0.00	47.20
2011-03-03	29.65	0.00	77.50
2011-03-04	29.10	0.00	64.30
2011-03-05	28.19	0.00	37.40
2011-03-06	27.51	0.00	35.60
2011-03-07	26.99	0.00	62.70
2011-03-08	26.49	0.00	77.20
2011-03-09	25.75	0.00	64.10
2011-03-10	24.91	0.00	62.30
2011-03-11	24.17	0.00	30.70
2011-03-12	23.43	0.00	43.10
2011-03-13	23.17	0.00	47.10
2011-03-14	22.59	0.00	66.30
2011-03-15	22.15	0.00	38.40
2011-03-16	21.57	0.00	52.30
2011-03-17	21.26	0.00	51.30
2011-03-18	20.83	0.00	48.70
2011-03-19	20.19	0.00	28.80
2011-03-20	19.65	0.00	5.60
2011-03-21	19.26	0.00	27.80
2011-03-22	19.14	0.00	35.70
2011-03-23	18.67	0.00	40.10
2011-03-24	18.18	0.00	47.10
2011-03-25	17.70	0.00	21.20
2011-03-26	17.20	0.00	20.90
2011-03-27	16.81	0.00	42.70
2011-03-28	16.60	0.00	51.00
2011-03-29	16.51	0.00	52.80
2011-03-30	15.41	0.00	57.50
2011-03-31	14.67	0.00	1.80
2011-04-01	14.43	32.23	0.00
2011-04-02	14.75	39.74	0.00
2011-04-03	15.20	39.85	0.00
2011-04-04	15.59	40.63	0.00
2011-04-05	15.97	37.70	0.00
2011-04-06	16.30	39.27	0.00
2011-04-07	16.68	54.58	0.00
2011-04-08	17.12	58.52	0.00
2011-04-09	17.65	62.23	0.00
2011-04-10	18.28	70.63	0.00
2011-04-11	18.81	0.01	0.00
2011-04-12	18.81	0.00	0.00
2011-04-13	18.81	0.00	0.00
2011-04-14	18.78	0.13	0.00
2011-04-15	18.79	27.70	0.00
2011-04-16	19.04	39.28	0.00
2011-04-17	19.53	55.52	0.00
2011-04-18	20.21	40.10	0.00
