# gas storage file
# Bulgaria
# date	percent full	injection	withdrawal
2011-01-02	75.59	0.00	0.00
2011-01-03	75.14	0.00	28.10
2011-01-04	74.61	0.00	33.20
2011-01-05	74.08	0.00	33.40
2011-01-06	73.54	0.00	33.60
2011-01-07	73.01	0.00	33.50
2011-01-08	72.48	0.00	33.30
2011-01-09	71.95	0.00	32.80
2011-01-10	71.43	0.00	32.80
2011-01-11	70.90	0.00	33.20
2011-01-12	70.37	0.00	33.20
2011-01-13	69.84	0.00	33.30
2011-01-14	69.36	0.00	30.10
2011-01-15	68.92	0.00	27.30
2011-01-16	68.48	0.00	27.40
2011-01-17	67.97	0.00	32.40
2011-01-18	67.44	0.00	32.80
2011-01-19	66.92	0.00	32.80
2011-01-20	66.40	0.00	32.80
2011-01-21	65.83	0.00	35.30
2011-01-22	65.33	0.00	31.40
2011-01-23	64.85	0.00	30.20
2011-01-24	64.27	0.00	36.60
2011-01-25	63.68	0.00	36.90
2011-01-26	63.07	0.00	38.00
2011-01-27	62.46	0.00	38.20
2011-01-28	61.86	0.00	38.00
2011-01-29	61.25	0.00	37.90
2011-01-30	60.65	0.00	37.90
2011-01-31	60.04	0.00	37.90
2011-02-01	59.52	0.00	32.70
2011-02-02	59.00	0.00	32.80
2011-02-03	58.47	0.00	32.80
2011-02-04	57.95	0.00	32.70
2011-02-05	57.43	0.00	32.80
2011-02-06	56.91	0.00	32.90
2011-02-07	56.38	0.00	32.80
2011-02-08	55.86	0.00	32.80
2011-02-09	55.34	0.00	32.80
2011-02-10	54.81	0.00	32.70
2011-02-11	54.28	0.00	33.80
2011-02-12	53.73	0.00	34.00
2011-02-13	53.19	0.00	33.90
2011-02-14	52.65	0.00	33.90
2011-02-15	52.11	0.00	33.80
2011-02-16	51.57	0.00	33.80
2011-02-17	51.03	0.00	33.90
2011-02-18	50.50	0.00	33.60
2011-02-19	49.95	0.00	34.00
2011-02-20	49.41	0.00	33.90
2011-02-21	48.87	0.00	34.00
2011-02-22	48.33	0.00	34.00
2011-02-23	47.79	0.00	33.90
2011-02-24	47.25	0.00	34.00
2011-02-25	46.70	0.00	34.00
2011-02-26	46.16	0.00	33.90
2011-02-27	45.62	0.00	33.90
2011-02-28	45.08	0.00	34.00
2011-03-01	44.61	0.00	29.70
2011-03-02	44.14	0.00	29.50
2011-03-03	43.67	0.00	29.50
2011-03-04	43.19	0.00	29.70
2011-03-05	42.72	0.00	29.60
2011-03-06	42.25	0.00	29.60
2011-03-07	41.78	0.00	29.60
2011-03-08	41.30	0.00	29.70
2011-03-09	40.83	0.00	29.60
2011-03-10	40.36	0.00	29.70
2011-03-11	39.93	0.00	27.00
2011-03-12	39.50	0.00	26.90
2011-03-13	39.07	0.00	26.90
2011-03-14	38.64	0.00	26.90
2011-03-15	38.21	0.00	26.90
2011-03-16	37.78	0.00	27.00
2011-03-17	37.35	0.00	26.90
2011-03-18	36.92	0.00	27.00
2011-03-19	36.49	0.00	26.80
2011-03-20	36.06	0.00	27.10
2011-03-21	35.67	0.00	24.40
2011-03-22	35.28	0.00	24.30
2011-03-23	34.90	0.00	24.30
2011-03-24	34.51	0.00	24.30
2011-03-25	34.12	0.00	24.40
2011-03-26	33.75	0.00	23.30
2011-03-27	33.36	0.00	24.30
2011-03-28	32.97	0.00	24.30
2011-03-29	32.58	0.00	24.30
2011-03-30	32.20	0.00	24.30
2011-03-31	31.81	0.00	24.20
2011-04-01	31.81	0.00	0.10
2011-04-02	31.81	0.00	0.00
2011-04-03	31.81	0.00	0.00
2011-04-04	31.81	0.00	0.00
2011-04-05	31.81	0.00	0.00
2011-04-06	31.81	0.00	0.00
2011-04-07	31.81	0.00	0.00
2011-04-08	31.81	0.00	0.00
2011-04-09	31.81	0.00	0.00
2011-04-10	31.81	0.00	0.00
2011-04-11	31.81	0.00	0.00
2011-04-12	31.81	0.00	0.00
2011-04-13	31.81	0.00	0.00
2011-04-14	31.81	0.00	0.00
2011-04-15	31.81	0.00	0.00
2011-04-16	31.81	0.00	0.00
2011-04-17	31.81	0.00	0.00
2011-04-18	31.81	0.00	0.00
2011-04-19	31.81	0.00	0.00
2011-04-20	31.81	0.00	0.00
2011-04-21	32.41	37.41	0.00
2011-04-22	33.03	39.39	0.00
2011-04-23	33.66	39.14	0.00
2011-04-24	34.28	39.24	0.00
2011-04-25	34.91	39.25	0.00
2011-04-26	35.53	39.05	0.00
2011-04-27	36.16	39.40	0.00
2011-04-28	36.79	39.31	0.00
2011-04-29	37.41	39.23	0.00
2011-04-30	38.04	39.32	0.00
2011-05-01	38.67	39.29	0.00
2011-05-02	39.29	39.10	0.00
2011-05-03	39.92	39.22	0.00
2011-05-04	40.54	39.10	0.00
2011-05-05	41.16	39.04	0.00
2011-05-06	41.79	39.04	0.00
2011-05-07	42.41	39.04	0.00
2011-05-08	43.03	38.97	0.00
2011-05-09	43.65	38.66	0.00
2011-05-10	44.25	37.74	0.00
2011-05-11	44.85	37.92	0.00
2011-05-12	45.46	37.90	0.00
2011-05-13	46.06	37.84	0.00
2011-05-14	46.66	37.88	0.00
2011-05-15	47.27	37.77	0.00
2011-05-16	47.87	37.63	0.00
2011-05-17	48.47	37.72	0.00
2011-05-18	49.07	37.55	0.00
2011-05-19	49.67	37.44	0.00
2011-05-20	50.26	37.32	0.00
2011-05-21	50.85	37.19	0.00
2011-05-22	51.45	37.16	0.00
2011-05-23	52.04	36.93	0.00
2011-05-24	52.62	36.80	0.00
2011-05-25	53.22	37.35	0.00
2011-05-26	53.82	37.62	0.00
2011-05-27	54.42	37.44	0.00
2011-05-28	55.01	37.49	0.00
2011-05-29	55.61	37.45	0.00
2011-05-30	56.20	37.27	0.00
2011-05-31	56.80	37.21	0.00
2011-06-01	57.38	36.74	0.00
2011-06-02	57.97	36.92	0.00
2011-06-03	58.56	36.81	0.00
2011-06-04	59.15	36.94	0.00
2011-06-05	59.74	36.79	0.00
2011-06-06	60.32	36.63	0.00
2011-06-07	60.90	36.42	0.00
2011-06-08	61.48	36.48	0.00
2011-06-09	62.06	36.39	0.00
2011-06-10	62.64	36.47	0.00
2011-06-11	63.23	36.53	0.00
2011-06-12	63.81	36.34	0.00
2011-06-13	64.39	36.26	0.00
2011-06-14	64.97	36.43	0.00
2011-06-15	65.54	36.20	0.00
2011-06-16	66.12	36.32	0.00
2011-06-17	66.71	36.50	0.00
2011-06-18	67.29	36.64	0.00
2011-06-19	67.87	36.70	0.00
2011-06-20	68.46	36.64	0.00
2011-06-21	69.04	36.56	0.00
2011-06-22	69.62	36.13	0.00
2011-06-23	70.20	36.19	0.00
2011-06-24	70.75	34.51	0.00
2011-06-25	71.32	36.02	0.00
2011-06-26	71.90	36.02	0.00
2011-06-27	72.47	35.80	0.00
2011-06-28	73.03	35.10	0.00
2011-06-29	73.03	0.00	0.00
2011-06-30	73.03	0.00	0.00
2011-07-01	73.03	0.00	0.00
2011-07-02	73.03	0.00	0.00
2011-07-03	73.03	0.00	0.00
2011-07-04	73.03	0.00	0.00
2011-07-05	73.03	0.00	0.00
2011-07-06	73.03	0.00	0.00
2011-07-07	73.03	0.00	0.00
2011-07-08	73.03	0.00	0.00
2011-07-09	73.03	0.00	0.00
2011-07-10	73.03	0.00	0.00
2011-07-11	73.03	0.00	0.00
2011-07-12	73.03	0.00	0.00
2011-07-13	73.03	0.00	0.00
2011-07-14	73.03	0.00	0.00
2011-07-15	73.03	0.00	0.00
2011-07-16	73.03	0.00	0.00
2011-07-17	73.03	0.00	0.00
2011-07-18	73.03	0.00	0.00
2011-07-19	73.03	0.00	0.00
2011-07-20	73.03	0.00	0.00
2011-07-21	73.03	0.00	0.00
2011-07-22	73.03	0.00	0.00
2011-07-23	73.03	0.00	0.00
2011-07-24	73.03	0.00	0.00
2011-07-25	73.03	0.00	0.00
2011-07-26	73.03	0.00	0.00
2011-07-27	73.03	0.00	0.00
2011-07-28	73.03	0.00	0.00
2011-07-29	73.03	0.00	0.00
2011-07-30	73.03	0.00	0.00
2011-07-31	73.03	0.00	0.00
2011-08-01	73.03	0.00	0.00
2011-08-02	73.03	0.00	0.00
2011-08-03	73.03	0.00	0.00
2011-08-04	73.03	0.00	0.00
2011-08-05	73.03	0.00	0.00
2011-08-06	73.03	0.00	0.00
2011-08-07	73.03	0.00	0.00
2011-08-08	73.03	0.00	0.00
2011-08-09	73.03	0.00	0.00
2011-08-10	73.03	0.00	0.00
2011-08-11	73.03	0.00	0.00
2011-08-12	73.03	0.00	0.00
2011-08-13	73.03	0.00	0.00
2011-08-14	73.03	0.00	0.00
2011-08-15	73.03	0.00	0.00
2011-08-16	73.03	0.00	0.00
2011-08-17	73.53	31.67	0.00
2011-08-18	74.07	33.68	0.00
2011-08-19	74.61	33.67	0.00
2011-08-20	75.14	33.61	0.00
2011-08-21	75.67	33.33	0.00
2011-08-22	76.21	33.41	0.00
2011-08-23	76.74	33.34	0.00
2011-08-24	77.27	33.34	0.00
2011-08-25	77.80	33.33	0.00
2011-08-26	78.33	33.34	0.00
2011-08-27	78.60	17.07	0.00
2011-08-28	78.81	13.17	0.00
2011-08-29	79.02	12.70	0.00
2011-08-30	79.22	12.43	0.00
2011-08-31	79.41	12.25	0.00
2011-09-01	79.62	13.39	0.00
2011-09-02	79.84	13.32	0.00
2011-09-03	80.34	31.26	0.00
2011-09-04	80.86	33.12	0.00
2011-09-05	81.39	33.13	0.00
2011-09-06	81.92	32.90	0.00
2011-09-07	82.44	32.67	0.00
2011-09-08	82.96	32.77	0.00
2011-09-09	83.48	32.79	0.00
2011-09-10	84.01	32.95	0.00
2011-09-11	84.54	33.00	0.00
2011-09-12	85.06	33.08	0.00
2011-09-13	85.59	33.02	0.00
2011-09-14	86.12	33.10	0.00
2011-09-15	86.64	32.93	0.00
2011-09-16	87.17	33.07	0.00
2011-09-17	87.69	32.72	0.00
2011-09-18	88.22	33.02	0.00
2011-09-19	88.75	33.02	0.00
