# gas storage file
# Czech Republic
# date	percent full	injection	withdrawal
2011-01-02	60.60	0.00	70.80
2011-01-03	59.93	0.00	168.80
2011-01-04	59.30	0.00	158.50
2011-01-05	58.65	0.00	162.90
2011-01-06	58.05	0.00	150.90
2011-01-07	57.72	0.00	84.10
2011-01-08	57.74	21.06	15.00
2011-01-09	57.76	14.72	10.40
2011-01-10	57.71	12.92	25.30
2011-01-11	57.58	30.41	64.10
2011-01-12	57.50	32.25	52.20
2011-01-13	57.43	30.74	46.10
2011-01-14	57.41	30.58	38.00
2011-01-15	57.40	30.84	32.70
2011-01-16	57.38	31.01	35.90
2011-01-17	57.13	15.93	79.00
2011-01-18	56.88	0.00	63.10
2011-01-19	56.80	16.27	35.60
2011-01-20	56.49	3.12	80.50
2011-01-21	56.11	0.00	97.20
2011-01-22	55.70	0.00	103.10
2011-01-23	55.31	0.00	96.90
2011-01-24	54.76	0.00	138.80
2011-01-25	54.32	0.00	109.40
2011-01-26	53.95	0.00	94.60
2011-01-27	53.42	0.00	133.10
2011-01-28	52.85	0.00	143.70
2011-01-29	52.21	0.00	160.30
2011-01-30	51.58	0.00	157.80
2011-01-31	50.64	0.00	237.30
2011-02-01	50.00	0.00	159.80
2011-02-02	49.29	0.00	178.60
2011-02-03	48.88	0.00	103.00
2011-02-04	48.55	0.00	83.90
2011-02-05	48.51	0.00	8.80
2011-02-06	48.55	12.26	4.60
2011-02-07	48.43	0.00	29.70
2011-02-08	48.28	0.00	35.80
2011-02-09	48.12	0.00	42.50
2011-02-10	47.92	0.00	48.60
2011-02-11	47.81	0.00	27.50
2011-02-12	47.71	0.00	26.90
2011-02-13	47.36	0.00	86.30
2011-02-14	47.02	0.00	85.20
2011-02-15	46.85	0.00	43.70
2011-02-16	46.70	0.00	39.00
2011-02-17	46.50	0.00	49.00
2011-02-18	46.31	0.00	48.90
2011-02-19	46.21	0.00	25.20
2011-02-20	45.96	0.00	63.00
2011-02-21	45.32	0.00	159.50
2011-02-22	44.67	0.00	163.30
2011-02-23	44.03	0.00	161.60
2011-02-24	43.24	0.00	197.90
2011-02-25	42.74	0.00	127.20
2011-02-26	42.38	0.00	90.10
2011-02-27	42.27	30.29	57.00
2011-02-28	42.15	13.83	44.20
2011-03-01	41.90	0.20	62.70
2011-03-02	41.63	0.00	69.10
2011-03-03	41.30	0.00	83.00
2011-03-04	41.13	0.00	42.40
2011-03-05	41.05	0.00	19.90
2011-03-06	40.99	0.00	14.40
2011-03-07	40.79	0.00	52.00
2011-03-08	40.45	0.00	84.20
2011-03-09	40.36	0.00	23.00
2011-03-10	40.35	0.00	1.40
2011-03-11	40.26	0.00	24.20
2011-03-12	40.22	0.00	9.40
2011-03-13	40.18	0.00	9.50
2011-03-14	40.15	0.00	9.30
2011-03-15	40.11	0.00	9.20
2011-03-16	40.11	0.00	0.80
2011-03-17	40.11	0.00	0.00
2011-03-18	40.00	0.00	27.10
2011-03-19	39.87	0.00	33.10
2011-03-20	39.83	0.00	10.30
2011-03-21	39.72	0.00	27.60
2011-03-22	39.76	15.96	5.50
2011-03-23	39.84	20.91	0.10
2011-03-24	39.88	10.69	0.00
2011-03-25	39.93	10.89	0.00
2011-03-26	40.01	21.17	0.00
2011-03-27	40.16	38.02	0.00
2011-03-28	40.42	64.88	0.00
2011-03-29	40.54	30.18	0.00
2011-03-30	40.71	43.01	0.00
2011-03-31	40.91	49.71	0.00
2011-04-01	38.94	123.33	0.00
2011-04-02	39.35	111.82	0.00
2011-04-03	39.70	93.51	0.00
2011-04-04	40.08	100.86	0.00
2011-04-05	40.47	102.85	0.00
2011-04-06	40.92	121.90	0.00
2011-04-07	41.37	120.86	0.00
