# gas storage file
# Germany
# date	percent full	injection	withdrawal
2011-01-02	60.56	49.69	186.30
2011-01-03	60.16	87.20	392.90
2011-01-04	59.46	0.02	519.00
2011-01-05	58.79	8.40	511.00
2011-01-06	58.31	30.97	396.00
2011-01-07	57.99	31.82	269.20
2011-01-08	58.08	84.48	18.30
2011-01-09	58.27	164.71	18.50
2011-01-10	57.89	66.30	351.10
2011-01-11	57.47	26.61	346.80
2011-01-12	57.09	24.73	308.60
2011-01-13	56.95	68.37	173.40
2011-01-14	57.00	96.95	58.30
2011-01-15	57.31	243.65	18.70
2011-01-16	57.57	190.90	3.20
2011-01-17	57.40	72.57	199.80
2011-01-18	57.19	11.13	163.80
2011-01-19	56.79	5.71	307.00
2011-01-20	56.32	0.62	350.80
2011-01-21	55.66	0.00	497.40
2011-01-22	55.24	19.35	324.00
2011-01-23	54.91	26.42	271.50
2011-01-24	54.45	10.68	359.90
2011-01-25	54.27	261.72	398.20
2011-01-26	53.69	16.15	446.30
2011-01-27	53.13	52.23	475.70
2011-01-28	52.34	0.00	593.70
2011-01-29	51.68	0.00	490.10
2011-01-30	51.04	0.00	483.90
2011-01-31	50.18	167.64	827.40
2011-02-01	49.29	0.03	682.80
2011-02-02	48.55	0.17	566.70
2011-02-03	47.94	42.14	506.80
2011-02-04	47.58	4.98	279.20
2011-02-05	47.58	30.41	33.20
2011-02-06	47.64	66.72	15.60
2011-02-07	47.35	58.09	273.50
2011-02-08	47.19	28.58	151.10
2011-02-09	47.06	153.36	258.90
2011-02-10	46.75	1.36	232.60
2011-02-11	46.52	5.23	180.20
2011-02-12	46.45	6.00	61.80
2011-02-13	46.42	11.19	38.00
2011-02-14	45.99	20.43	344.30
2011-02-15	45.89	145.19	221.30
2011-02-16	45.63	0.56	203.60
2011-02-17	45.25	1.35	291.00
2011-02-18	44.91	1.14	260.20
2011-02-19	44.80	5.32	96.50
2011-02-20	44.53	0.00	215.90
2011-02-21	43.95	0.32	446.50
2011-02-22	43.13	0.00	635.50
2011-02-23	42.26	14.46	681.20
2011-02-24	41.42	0.00	647.80
2011-02-25	40.84	33.27	479.80
2011-02-26	40.56	85.88	305.10
2011-02-27	40.56	105.51	112.00
2011-02-28	40.26	68.64	288.30
2011-03-01	39.81	63.89	406.30
2011-03-02	39.59	72.08	255.50
2011-03-03	39.21	53.63	346.20
2011-03-04	38.83	60.42	348.70
2011-03-05	38.64	49.81	203.70
2011-03-06	38.51	43.05	157.00
2011-03-07	38.27	38.05	228.60
2011-03-08	37.99	65.35	288.90
2011-03-09	37.74	62.18	250.70
2011-03-10	37.78	67.02	35.10
2011-03-11	37.79	57.51	56.40
2011-03-12	37.88	137.61	65.00
2011-03-13	38.19	247.59	20.60
2011-03-14	38.36	172.99	37.90
2011-03-15	38.61	223.76	40.70
2011-03-16	38.86	206.85	15.30
2011-03-17	38.91	83.88	51.40
2011-03-18	38.80	53.90	136.90
2011-03-19	38.78	82.49	103.30
2011-03-20	38.84	68.01	25.70
2011-03-21	38.86	51.34	40.70
2011-03-22	38.81	84.04	126.10
2011-03-23	38.81	58.60	53.50
2011-03-24	39.02	182.00	23.80
2011-03-25	38.68	222.77	14.60
2011-03-26	38.94	195.04	6.70
2011-03-27	39.18	221.34	21.00
2011-03-28	39.28	118.05	45.50
2011-03-29	39.40	140.97	51.00
2011-03-30	39.59	178.16	23.90
2011-03-31	39.85	217.39	9.70
2011-04-01	46.13	346.22	19.70
2011-04-02	46.51	374.47	11.50
2011-04-03	46.96	435.05	8.60
2011-04-04	47.37	390.94	4.80
2011-04-05	47.72	348.64	17.30
2011-04-06	48.18	464.51	14.50
2011-04-07	48.63	430.61	2.30
2011-04-08	49.12	463.52	2.30
2011-04-09	49.58	442.95	3.30
2011-04-10	50.00	405.46	4.10
2011-04-11	49.52	405.99	2.30
2011-04-12	49.88	402.80	9.00
2011-04-13	50.26	367.30	9.60
2011-04-14	50.46	194.46	19.60
2011-04-15	50.63	173.81	8.50
2011-04-16	50.94	295.52	5.90
2011-04-17	51.34	389.45	3.80
2011-04-18	51.68	326.67	0.00
2011-04-19	52.13	434.85	5.20
2011-04-20	52.60	468.93	4.90
2011-04-21	53.12	504.24	4.30
2011-04-22	53.65	520.06	2.00
2011-04-23	54.20	534.73	0.00
2011-04-24	54.75	528.83	0.00
2011-04-25	55.31	552.11	0.00
2011-04-26	55.79	469.44	25.40
2011-04-27	56.25	452.59	2.30
2011-04-28	56.38	451.72	319.40
2011-04-29	56.84	452.64	11.30
2011-04-30	57.37	515.57	1.20
2011-05-01	57.83	419.13	4.30
2011-05-02	58.10	278.73	15.30
2011-05-03	58.22	125.00	11.50
2011-05-04	58.34	136.72	58.90
2011-05-05	58.41	125.32	72.80
2011-05-06	58.58	255.35	7.30
2011-05-07	58.97	348.95	2.50
2011-05-08	59.42	424.36	3.20
2011-05-09	59.82	385.16	13.80
2011-05-10	60.20	375.83	8.90
2011-05-11	60.53	325.85	7.40
2011-05-12	60.57	343.80	310.60
2011-05-13	60.90	326.79	6.80
2011-05-14	61.35	439.87	4.10
2011-05-15	61.84	472.70	8.00
2011-05-16	62.15	313.57	8.40
2011-05-17	62.60	429.80	3.70
2011-05-18	63.02	426.62	11.40
2011-05-19	63.50	464.05	7.30
2011-05-20	63.95	435.15	0.20
2011-05-21	64.41	445.20	4.00
2011-05-22	64.93	496.27	0.10
2011-05-23	65.40	457.84	4.90
2011-05-24	65.91	494.58	9.80
2011-05-25	66.37	477.01	34.00
2011-05-26	66.86	476.63	1.80
2011-05-27	67.31	440.63	2.30
2011-05-28	67.81	485.08	2.00
2011-05-29	68.34	504.10	1.30
2011-05-30	68.69	362.15	9.90
2011-05-31	69.10	408.21	15.60
2011-06-01	68.48	205.62	27.10
2011-06-02	68.69	214.03	4.30
2011-06-03	68.92	237.15	5.40
2011-06-04	69.23	311.50	1.30
2011-06-05	69.58	350.10	0.60
