# gas storage file
# Denmark
# date	percent full	injection	withdrawal
2011-01-02	73.80	21.86	55.30
2011-01-03	72.81	12.93	135.30
2011-01-04	71.82	14.01	137.60
2011-01-05	70.98	23.24	128.00
2011-01-06	70.75	39.87	67.60
2011-01-07	70.53	30.35	58.20
2011-01-08	70.41	48.18	63.00
2011-01-09	70.36	41.39	47.50
2011-01-10	70.07	29.70	66.10
2011-01-11	69.66	19.13	69.40
2011-01-12	69.48	20.27	43.30
2011-01-13	69.53	30.47	24.00
2011-01-14	69.58	38.21	32.00
2011-01-15	69.59	46.10	45.40
2011-01-16	69.80	58.71	32.00
2011-01-17	69.89	36.74	25.80
2011-01-18	69.79	19.47	31.60
2011-01-19	69.54	14.95	46.50
2011-01-20	69.25	14.36	49.50
2011-01-21	68.96	16.65	53.00
2011-01-22	68.50	14.06	71.70
2011-01-23	68.06	11.49	66.00
2011-01-24	67.45	18.04	93.30
2011-01-25	66.93	17.56	83.00
2011-01-26	66.22	19.89	107.20
2011-01-27	65.13	7.69	143.40
2011-01-28	64.47	16.52	98.90
2011-01-29	64.34	11.57	27.70
2011-01-30	64.22	19.57	34.10
2011-01-31	63.83	23.86	72.30
2011-02-01	63.50	17.89	59.40
2011-02-02	63.29	12.56	38.00
2011-02-03	63.16	10.77	27.70
2011-02-04	63.13	27.14	30.80
2011-02-05	63.17	43.39	38.50
2011-02-06	63.21	44.63	38.70
2011-02-07	63.19	23.04	26.30
2011-02-08	63.22	34.78	31.10
2011-02-09	63.16	33.59	40.90
2011-02-10	63.10	28.33	35.70
2011-02-11	63.04	17.90	25.50
2011-02-12	62.97	29.67	37.70
2011-02-13	63.06	40.67	31.80
2011-02-14	62.84	12.76	41.90
2011-02-15	62.50	9.03	51.20
2011-02-16	62.37	21.72	38.10
2011-02-17	62.07	10.72	47.10
2011-02-18	61.76	11.89	51.30
2011-02-19	61.54	8.34	35.00
2011-02-20	61.03	7.46	70.50
2011-02-21	60.70	11.18	52.40
2011-02-22	60.21	28.50	90.30
2011-02-23	58.63	10.70	207.00
2011-02-24	57.05	12.47	208.30
2011-02-25	57.02	39.15	42.80
2011-02-26	57.26	44.57	14.30
2011-02-27	57.28	34.44	31.80
2011-02-28	57.13	19.18	38.50
2011-03-01	56.99	7.99	25.60
2011-03-02	56.61	7.55	60.90
2011-03-03	56.44	3.86	23.30
2011-03-04	56.30	6.83	25.40
2011-03-05	56.30	26.20	26.20
2011-03-06	56.03	17.52	50.60
2011-03-07	55.97	23.14	30.40
2011-03-08	55.97	27.13	27.10
2011-03-09	55.98	24.92	23.70
2011-03-10	55.66	19.82	59.80
2011-03-11	55.43	26.79	55.50
2011-03-12	55.54	31.78	17.20
2011-03-13	55.06	22.49	83.10
2011-03-14	55.18	43.33	27.70
2011-03-15	55.72	77.17	10.50
2011-03-16	55.84	49.72	34.10
2011-03-17	55.89	33.05	27.80
2011-03-18	55.75	20.77	37.60
2011-03-19	55.71	16.33	16.30
2011-03-20	55.77	20.66	13.40
2011-03-21	55.77	24.37	24.40
2011-03-22	55.86	21.68	10.80
2011-03-23	56.05	36.36	12.70
2011-03-24	56.35	45.43	7.90
2011-03-25	56.60	44.54	13.00
2011-03-26	56.83	43.07	14.60
2011-03-27	57.03	39.42	15.20
2011-03-28	57.32	44.51	8.20
2011-03-29	57.67	53.58	9.90
2011-03-30	58.11	65.79	11.60
2011-03-31	58.50	54.98	6.10
2011-04-01	58.81	48.09	9.30
2011-04-02	59.20	63.98	15.50
2011-04-03	59.75	70.39	2.50
2011-04-04	60.00	33.70	2.20
2011-04-05	60.35	53.79	10.20
2011-04-06	60.41	41.26	34.10
2011-04-07	60.73	51.03	11.00
2011-04-08	61.15	62.15	10.90
2011-04-09	61.48	57.40	16.20
2011-04-10	61.92	62.39	7.80
2011-04-11	61.97	15.79	8.50
2011-04-12	62.07	28.94	16.80
2011-04-13	62.14	26.94	18.90
2011-04-14	62.14	10.71	10.70
2011-04-15	62.18	23.59	17.90
2011-04-16	62.47	47.11	12.00
2011-04-17	62.82	57.27	13.60
2011-04-18	62.80	22.94	25.00
2011-04-19	63.23	58.15	4.80
2011-04-20	63.68	64.11	8.40
2011-04-21	64.22	71.61	3.70
2011-04-22	64.83	76.30	0.70
2011-04-23	65.37	70.93	4.30
2011-04-24	66.05	85.52	0.90
2011-04-25	66.61	78.68	8.40
2011-04-26	67.09	69.41	10.00
