# gas storage file
# Spain
# date	percent full	injection	withdrawal
2011-01-02	55.58	0.00	115.30
2011-01-03	55.17	0.00	114.90
2011-01-04	54.76	0.00	114.40
2011-01-05	54.39	0.00	104.80
2011-01-06	54.09	0.00	84.50
2011-01-07	53.78	0.00	84.50
2011-01-08	53.59	0.00	54.20
2011-01-09	53.46	0.00	38.10
2011-01-10	53.19	0.00	74.10
2011-01-11	52.89	0.00	83.90
2011-01-12	52.54	0.00	98.10
2011-01-13	52.14	0.00	111.10
2011-01-14	51.75	0.00	111.10
2011-01-15	51.35	0.00	111.30
2011-01-16	50.95	0.00	111.20
2011-01-17	50.55	0.00	111.50
2011-01-18	50.16	0.00	109.20
2011-01-19	49.77	0.00	111.00
2011-01-20	49.37	0.00	110.60
2011-01-21	48.98	0.00	110.00
2011-01-22	48.59	0.00	109.90
2011-01-23	48.19	0.00	109.90
2011-01-24	47.80	0.00	109.80
2011-01-25	47.41	0.00	109.70
2011-01-26	47.02	0.00	109.00
2011-01-27	46.63	0.00	109.30
2011-01-28	46.24	0.00	108.90
2011-01-29	45.85	0.00	108.40
2011-01-30	45.47	0.00	108.10
2011-01-31	45.08	0.00	107.80
2011-02-01	44.70	0.00	107.30
2011-02-02	44.32	0.00	106.80
2011-02-03	43.96	0.00	100.40
2011-02-04	43.62	0.00	93.40
2011-02-05	43.29	0.00	93.30
2011-02-06	42.96	0.00	93.40
2011-02-07	42.62	0.00	94.20
2011-02-08	42.29	0.00	93.20
2011-02-09	41.95	0.00	93.10
2011-02-10	41.62	0.00	92.80
2011-02-11	41.30	0.00	90.90
2011-02-12	40.98	0.00	90.20
2011-02-13	40.68	0.00	83.00
2011-02-14	40.40	0.00	79.30
2011-02-15	40.11	0.00	80.60
2011-02-16	39.78	0.00	92.30
2011-02-17	39.43	0.00	98.50
2011-02-18	39.09	0.00	95.20
2011-02-19	38.72	0.00	103.40
2011-02-20	38.35	0.00	103.50
2011-02-21	38.00	0.00	97.80
2011-02-22	37.67	0.00	92.90
2011-02-23	37.34	0.00	92.70
2011-02-24	37.00	0.00	92.50
2011-02-25	36.72	0.00	80.20
2011-02-26	36.50	0.00	61.60
2011-02-27	36.38	0.00	32.10
2011-02-28	36.33	0.00	14.80
2011-03-01	36.19	0.00	39.10
2011-03-02	35.93	0.00	73.20
2011-03-03	35.65	0.00	79.40
2011-03-04	35.38	0.00	74.90
2011-03-05	35.11	0.00	75.40
2011-03-06	34.88	0.00	64.10
2011-03-07	34.67	0.00	58.30
2011-03-08	34.36	0.00	85.90
2011-03-09	34.05	0.00	88.10
2011-03-10	33.74	0.00	87.70
2011-03-11	33.42	0.00	87.50
2011-03-12	33.16	0.00	74.40
2011-03-13	32.92	0.00	65.40
2011-03-14	32.69	0.00	66.70
2011-03-15	32.44	0.00	67.80
2011-03-16	32.20	0.00	68.10
2011-03-17	31.96	0.00	67.90
2011-03-18	31.81	0.00	41.60
2011-03-19	31.74	0.00	19.90
2011-03-20	31.67	0.00	19.70
2011-03-21	31.60	0.00	19.40
2011-03-22	31.54	0.00	15.00
2011-03-23	31.49	0.00	15.90
2011-03-24	31.43	0.00	16.70
2011-03-25	31.40	0.00	7.90
2011-03-26	31.40	0.00	0.00
2011-03-27	31.40	0.00	0.00
2011-03-28	31.40	0.00	0.00
2011-03-29	31.42	8.17	2.00
2011-03-30	31.50	22.77	0.00
2011-03-31	31.61	29.11	0.00
2011-04-01	31.78	47.45	0.00
2011-04-02	32.10	90.72	0.00
2011-04-03	32.43	91.56	0.00
2011-04-04	32.75	89.84	0.00
2011-04-05	33.04	80.38	0.00
2011-04-06	33.36	91.12	0.00
2011-04-07	33.69	92.51	0.00
2011-04-08	34.04	97.17	0.00
2011-04-09	34.39	99.49	0.00
2011-04-10	34.76	100.93	0.00
2011-04-11	35.11	99.87	0.00
2011-04-12	35.46	98.59	0.00
2011-04-13	35.82	98.09	0.00
2011-04-14	36.16	97.63	0.00
2011-04-15	36.52	100.16	0.00
2011-04-16	36.88	99.95	0.00
2011-04-17	37.21	93.96	0.00
2011-04-18	37.56	97.28	0.00
2011-04-19	37.91	96.58	0.00
2011-04-20	38.26	99.19	0.00
2011-04-21	38.62	99.39	0.00
2011-04-22	38.98	100.95	0.00
2011-04-23	39.34	100.63	0.00
2011-04-24	39.70	101.78	0.00
2011-04-25	40.05	97.82	0.00
2011-04-26	40.40	97.93	0.00
2011-04-27	40.75	98.06	0.00
2011-04-28	41.10	97.60	0.00
2011-04-29	41.45	97.97	0.00
2011-04-30	41.79	95.91	0.00
2011-05-01	42.13	94.48	0.00
2011-05-02	42.48	97.34	0.00
2011-05-03	42.80	90.39	0.00
2011-05-04	43.14	96.09	0.00
2011-05-05	43.48	94.94	0.00
2011-05-06	43.82	94.24	0.00
2011-05-07	44.16	95.37	0.00
2011-05-08	44.51	98.12	0.00
2011-05-09	44.73	61.39	0.00
2011-05-10	44.88	42.71	0.00
2011-05-11	45.03	41.71	0.00
2011-05-12	45.18	42.18	0.00
2011-05-13	45.33	42.50	0.00
2011-05-14	45.49	44.17	0.00
2011-05-15	45.77	78.13	0.00
2011-05-16	46.12	97.33	0.00
2011-05-17	46.45	91.80	0.00
2011-05-18	46.75	84.07	0.00
2011-05-19	47.09	94.59	0.00
2011-05-20	47.41	91.79	0.00
2011-05-21	47.76	96.70	0.00
2011-05-22	48.12	100.26	0.00
2011-05-23	48.46	94.84	0.00
2011-05-24	48.79	93.42	0.00
2011-05-25	49.11	88.95	0.00
2011-05-26	49.42	87.17	0.00
2011-05-27	49.75	92.18	0.00
2011-05-28	50.09	95.65	0.00
2011-05-29	50.44	97.00	0.00
2011-05-30	50.78	95.14	0.00
2011-05-31	51.11	93.43	0.00
2011-06-01	51.45	95.47	0.00
2011-06-02	51.79	95.75	0.00
2011-06-03	52.12	91.74	0.00
2011-06-04	52.46	94.55	0.00
2011-06-05	52.81	97.25	0.00
2011-06-06	53.14	93.49	0.00
2011-06-07	53.47	91.04	0.00
2011-06-08	53.77	85.68	0.00
2011-06-09	54.05	77.14	0.00
2011-06-10	54.32	77.00	0.00
2011-06-11	54.62	83.21	0.00
2011-06-12	54.97	97.05	0.00
2011-06-13	55.31	96.11	0.00
2011-06-14	55.63	90.43	0.00
2011-06-15	55.97	94.60	0.00
2011-06-16	56.30	92.58	0.00
2011-06-17	56.59	81.76	0.00
2011-06-18	56.95	99.87	0.00
2011-06-19	57.30	98.39	0.00
2011-06-20	57.65	96.77	0.00
2011-06-21	57.99	95.39	0.00
2011-06-22	58.33	96.45	0.00
2011-06-23	58.66	92.33	0.00
2011-06-24	59.01	96.40	0.00
2011-06-25	59.37	99.97	0.00
2011-06-26	59.70	92.74	0.00
2011-06-27	60.02	89.17	0.00
2011-06-28	60.36	96.63	0.00
2011-06-29	60.72	100.06	0.00
2011-06-30	61.08	100.89	0.00
2011-07-01	61.38	84.12	0.00
2011-07-02	61.62	68.00	0.00
2011-07-03	61.87	68.46	0.00
2011-07-04	62.14	77.66	0.00
2011-07-05	62.43	79.85	0.00
2011-07-06	62.69	73.49	0.00
2011-07-07	62.88	51.94	0.00
2011-07-08	63.05	48.93	0.00
2011-07-09	63.28	64.42	0.00
2011-07-10	63.54	73.33	0.00
2011-07-11	63.83	79.76	0.00
2011-07-12	64.12	82.11	0.00
2011-07-13	64.41	81.37	0.00
2011-07-14	64.72	84.47	0.00
2011-07-15	65.01	81.15	0.00
2011-07-16	65.31	84.07	0.00
2011-07-17	65.61	85.77	0.00
2011-07-18	65.91	84.25	0.00
2011-07-19	66.20	80.55	0.00
2011-07-20	66.49	80.01	0.00
2011-07-21	66.77	79.62	0.00
2011-07-22	67.04	74.33	0.00
2011-07-23	67.30	74.69	0.00
2011-07-24	67.57	75.23	0.00
2011-07-25	67.84	74.59	0.00
2011-07-26	68.10	73.14	0.00
2011-07-27	68.37	75.05	0.00
