# gas storage file
# France
# date	percent full	injection	withdrawal
2011-01-02	55.12	0.00	124.10
2011-01-03	54.54	0.00	185.40
2011-01-04	53.90	0.00	205.70
2011-01-05	53.46	0.20	142.80
2011-01-06	53.18	0.20	90.10
2011-01-07	52.88	0.15	97.00
2011-01-08	52.62	1.42	84.20
2011-01-09	52.27	0.11	111.60
2011-01-10	51.68	0.11	190.20
2011-01-11	51.19	0.12	156.10
2011-01-12	50.85	0.40	111.70
2011-01-13	50.58	5.16	89.60
2011-01-14	50.34	2.93	82.50
2011-01-15	50.29	4.77	18.20
2011-01-16	50.19	3.25	37.30
2011-01-17	49.79	0.56	127.70
2011-01-18	49.49	0.18	99.00
2011-01-19	49.09	0.00	132.40
2011-01-20	48.63	0.00	145.70
2011-01-21	48.04	0.20	191.40
2011-01-22	47.49	0.19	176.10
2011-01-23	46.99	0.36	160.50
2011-01-24	46.37	0.09	200.60
2011-01-25	45.91	0.00	147.00
2011-01-26	45.34	0.20	182.60
2011-01-27	44.84	0.20	160.70
2011-01-28	44.35	0.04	158.40
2011-01-29	43.87	0.00	154.30
2011-01-30	43.33	0.12	173.70
2011-01-31	42.64	0.00	221.90
2011-02-01	41.83	0.00	258.60
2011-02-02	41.09	0.00	239.10
2011-02-03	40.55	0.14	173.30
2011-02-04	40.19	0.37	115.30
2011-02-05	39.91	2.69	95.00
2011-02-06	39.57	0.05	109.30
2011-02-07	39.20	0.03	117.50
2011-02-08	38.82	0.49	123.90
2011-02-09	38.50	0.21	100.40
2011-02-10	38.17	0.14	106.30
2011-02-11	37.88	0.10	96.20
2011-02-12	37.56	0.17	101.10
2011-02-13	37.24	0.13	103.60
2011-02-14	36.89	0.05	113.70
2011-02-15	36.45	1.74	141.20
2011-02-16	36.13	2.90	105.30
2011-02-17	35.79	1.71	111.70
2011-02-18	35.44	3.59	116.80
2011-02-19	35.08	0.10	113.80
2011-02-20	34.75	0.18	106.00
2011-02-21	34.32	0.06	140.00
2011-02-22	33.85	0.00	152.10
2011-02-23	33.44	0.01	129.80
2011-02-24	33.13	2.29	103.80
2011-02-25	32.75	0.01	119.10
2011-02-26	32.40	0.86	113.70
2011-02-27	32.05	0.28	114.90
2011-02-28	31.50	0.01	175.30
2011-03-01	31.10	0.00	129.70
2011-03-02	30.73	0.00	116.70
2011-03-03	30.34	0.00	125.90
2011-03-04	30.02	0.00	105.20
2011-03-05	29.78	9.92	85.70
2011-03-06	29.51	0.87	88.30
2011-03-07	29.21	0.00	95.30
2011-03-08	28.92	0.00	92.50
2011-03-09	28.70	6.06	78.20
2011-03-10	28.69	7.87	12.00
2011-03-11	28.64	1.11	15.40
2011-03-12	28.72	38.74	12.90
2011-03-13	28.81	42.86	14.70
2011-03-14	28.84	25.89	14.30
2011-03-15	28.86	26.86	21.00
2011-03-16	28.95	49.81	22.00
2011-03-17	28.92	19.10	27.00
2011-03-18	28.99	42.14	21.10
2011-03-19	28.98	15.41	20.30
2011-03-20	28.99	27.16	22.10
2011-03-21	28.91	0.28	25.70
2011-03-22	28.92	14.38	13.10
2011-03-23	28.97	30.04	11.20
2011-03-24	29.13	56.80	6.70
2011-03-25	29.31	64.51	5.60
2011-03-26	29.54	78.16	4.40
2011-03-27	29.76	73.08	4.90
2011-03-28	29.80	26.86	12.20
2011-03-29	29.85	28.41	12.00
2011-03-30	29.93	31.61	7.60
2011-03-31	30.01	32.02	6.80
2011-04-01	30.06	19.83	2.00
2011-04-02	30.24	57.70	1.30
2011-04-03	30.56	103.49	1.30
2011-04-04	30.62	22.61	1.80
2011-04-05	30.67	19.22	2.20
2011-04-06	30.81	46.89	2.30
2011-04-07	30.94	44.31	3.50
2011-04-08	31.27	106.26	0.60
2011-04-09	31.67	130.63	0.50
2011-04-10	32.06	124.67	0.50
2011-04-11	32.05	21.38	25.10
2011-04-12	32.06	36.80	31.50
2011-04-13	32.15	51.34	22.80
2011-04-14	32.30	49.41	3.60
2011-04-15	32.41	42.00	4.30
2011-04-16	32.67	85.34	1.70
2011-04-17	32.91	76.07	0.50
2011-04-18	33.06	54.92	7.00
2011-04-19	33.31	82.73	0.50
2011-04-20	33.59	89.23	0.40
2011-04-21	33.82	74.40	0.30
2011-04-22	34.05	74.48	0.30
2011-04-23	34.29	76.78	0.30
2011-04-24	34.54	81.85	0.30
2011-04-25	34.78	76.67	0.20
2011-04-26	35.00	70.23	0.70
2011-04-27	35.28	91.07	0.60
2011-04-28	35.54	85.23	0.50
2011-04-29	35.68	45.38	0.50
2011-04-30	35.94	82.41	0.30
2011-05-01	36.32	121.06	0.00
2011-05-02	36.64	105.96	0.20
2011-05-03	36.76	39.14	4.40
2011-05-04	36.91	48.04	0.10
2011-05-05	37.03	42.75	1.50
2011-05-06	37.29	83.30	0.00
2011-05-07	37.82	168.05	0.00
2011-05-08	38.45	204.59	0.00
2011-05-09	38.88	137.97	0.00
2011-05-10	39.23	111.16	0.10
2011-05-11	39.61	124.68	0.80
2011-05-12	40.09	155.13	0.40
2011-05-13	40.57	154.32	0.00
2011-05-14	41.25	215.26	0.00
2011-05-15	41.89	205.97	0.10
2011-05-16	42.26	120.84	2.20
2011-05-17	42.56	98.56	1.80
2011-05-18	42.88	107.31	2.60
2011-05-19	43.26	122.74	0.20
2011-05-20	43.61	112.54	0.10
2011-05-21	44.14	169.76	0.60
2011-05-22	44.70	181.41	0.60
2011-05-23	45.09	124.02	0.60
2011-05-24	45.47	122.19	0.60
2011-05-25	45.67	65.64	0.10
2011-05-26	45.91	77.29	0.10
2011-05-27	46.33	136.67	0.10
2011-05-28	46.90	182.97	0.20
2011-05-29	47.36	147.25	0.20
2011-05-30	47.82	148.83	1.00
2011-05-31	48.18	115.68	0.20
2011-06-01	48.68	159.32	0.00
2011-06-02	49.31	204.16	0.00
2011-06-03	49.83	166.77	0.00
2011-06-04	50.42	189.50	0.00
2011-06-05	50.87	145.52	0.00
2011-06-06	51.31	139.14	0.10
2011-06-07	51.76	144.95	0.00
2011-06-08	52.18	136.92	0.00
2011-06-09	52.49	97.45	0.00
2011-06-10	52.83	109.13	0.00
2011-06-11	53.43	195.04	0.00
2011-06-12	54.06	201.17	0.00
2011-06-13	54.53	152.22	0.00
2011-06-14	54.85	102.53	0.20
2011-06-15	55.32	150.75	0.20
2011-06-16	55.78	147.02	0.00
2011-06-17	56.18	128.08	0.00
2011-06-18	56.64	149.46	0.00
2011-06-19	57.12	152.96	0.00
2011-06-20	57.40	88.91	0.00
2011-06-21	57.66	85.70	1.50
2011-06-22	57.97	99.76	0.00
2011-06-23	58.29	103.84	0.00
2011-06-24	58.60	99.43	0.00
2011-06-25	58.99	126.35	0.00
2011-06-26	59.39	126.59	0.00
2011-06-27	59.68	93.33	0.00
2011-06-28	60.07	126.35	0.00
2011-06-29	60.41	108.47	0.10
2011-06-30	60.64	74.57	1.10
2011-07-01	60.97	106.34	0.10
2011-07-02	61.30	108.00	0.20
2011-07-03	61.64	108.55	0.20
2011-07-04	61.95	100.54	0.20
2011-07-05	62.34	123.89	0.20
2011-07-06	62.63	92.45	0.00
2011-07-07	62.89	84.73	0.00
2011-07-08	63.24	111.54	0.20
2011-07-09	63.83	190.27	0.00
2011-07-10	64.44	195.21	0.00
2011-07-11	64.82	122.02	0.00
2011-07-12	65.22	129.98	0.00
2011-07-13	65.76	170.28	0.00
2011-07-14	66.42	211.59	0.00
2011-07-15	66.95	170.44	0.00
2011-07-16	67.59	205.56	0.00
2011-07-17	68.20	196.83	0.00
2011-07-18	68.44	78.61	0.00
2011-07-19	68.76	103.45	0.00
2011-07-20	69.11	112.48	0.00
2011-07-21	69.49	121.10	0.00
2011-07-22	69.85	115.52	0.00
2011-07-23	70.23	123.26	0.60
2011-07-24	70.68	143.94	0.00
2011-07-25	71.06	121.29	0.00
2011-07-26	71.36	97.47	0.00
2011-07-27	71.67	98.67	0.00
2011-07-28	71.97	97.61	0.00
2011-07-29	72.28	99.40	0.00
2011-07-30	72.89	195.77	0.00
2011-07-31	73.51	198.78	0.00
2011-08-01	74.10	189.07	0.00
2011-08-02	74.75	210.99	0.10
2011-08-03	75.35	191.83	0.00
2011-08-04	75.80	143.76	0.00
2011-08-05	76.29	157.33	0.00
2011-08-06	76.79	162.02	0.00
2011-08-07	77.29	160.81	0.00
2011-08-08	77.81	166.99	0.00
2011-08-09	78.30	157.26	0.00
2011-08-10	78.81	162.77	0.00
2011-08-11	79.36	176.28	0.00
2011-08-12	79.91	177.89	0.00
2011-08-13	80.52	195.86	0.00
2011-08-14	81.12	190.89	0.00
2011-08-15	81.72	194.49	0.00
2011-08-16	82.28	178.27	0.00
2011-08-17	82.84	179.62	0.00
2011-08-18	83.38	175.03	0.00
2011-08-19	83.95	183.24	0.00
2011-08-20	84.54	188.62	0.00
2011-08-21	85.13	190.35	0.00
2011-08-22	85.68	175.53	0.00
2011-08-23	86.23	177.25	0.00
2011-08-24	86.79	181.85	0.00
2011-08-25	87.36	183.09	0.00
2011-08-26	87.92	177.58	0.10
2011-08-27	88.49	185.30	0.00
2011-08-28	89.08	188.70	0.00
2011-08-29	89.56	154.72	0.00
2011-08-30	90.05	156.85	0.10
2011-08-31	90.43	121.68	0.20
2011-09-01	90.63	66.42	0.60
2011-09-02	90.95	101.39	0.10
2011-09-03	91.38	139.01	0.10
2011-09-04	91.81	138.76	0.00
2011-09-05	91.93	37.95	0.00
2011-09-06	91.97	11.30	0.00
2011-09-07	91.98	8.63	5.30
2011-09-08	92.00	8.65	0.70
2011-09-09	92.03	9.23	0.10
2011-09-10	92.35	102.72	0.00
2011-09-11	92.68	107.63	0.00
2011-09-12	92.81	39.65	0.10
2011-09-13	92.85	14.78	0.00
2011-09-14	92.92	21.63	0.50
2011-09-15	92.93	4.98	1.70
2011-09-16	93.01	24.73	0.00
2011-09-17	93.19	59.95	0.00
2011-09-18	93.38	60.90	0.00
2011-09-19	93.42	13.00	0.80
2011-09-20	93.43	9.83	5.20
2011-09-21	93.46	9.34	2.80
2011-09-22	93.49	10.21	0.00
2011-09-23	93.48	11.48	14.40
2011-09-24	93.50	8.72	0.70
2011-09-25	93.54	12.27	0.00
2011-09-26	93.57	9.85	0.00
2011-09-27	93.61	13.17	1.00
2011-09-28	93.65	12.54	0.00
2011-09-29	93.66	9.57	5.00
2011-09-30	93.63	5.93	16.50
2011-10-01	93.65	7.85	0.00
2011-10-02	93.69	10.89	0.00
2011-10-03	93.71	6.19	0.00
2011-10-04	93.65	14.32	1.10
2011-10-05	93.64	1.56	6.40
2011-10-06	93.57	4.07	25.50
2011-10-07	93.55	5.42	12.50
2011-10-08	93.70	48.88	0.60
2011-10-09	93.74	12.07	0.10
2011-10-10	93.72	1.30	5.90
2011-10-11	93.73	0.96	0.50
2011-10-12	93.73	2.70	1.30
2011-10-13	93.73	4.24	4.70
2011-10-14	93.71	4.03	9.20
2011-10-15	93.76	16.92	0.20
2011-10-16	93.82	19.31	0.10
2011-10-17	93.86	14.18	3.50
2011-10-18	93.73	9.16	50.00
2011-10-19	93.60	8.85	49.30
2011-10-20	93.54	7.52	29.20
2011-10-21	93.56	8.23	2.20
2011-10-22	93.54	1.25	5.70
2011-10-23	93.67	39.66	0.20
2011-10-24	93.66	5.95	8.00
2011-10-25	93.65	4.69	7.10
2011-10-26	93.60	0.71	17.50
2011-10-27	93.53	1.30	22.60
2011-10-28	93.55	5.01	0.30
2011-10-29	93.58	11.84	0.30
2011-10-30	93.60	6.12	0.20
2011-10-31	93.62	7.38	2.50
2011-11-01	93.55	7.61	53.70
2011-11-02	93.27	11.60	100.30
2011-11-03	92.98	5.07	101.00
2011-11-04	92.88	0.09	31.70
2011-11-05	92.69	0.78	62.10
2011-11-06	92.60	0.65	27.00
2011-11-07	92.15	0.06	147.30
2011-11-08	91.75	0.33	127.50
2011-11-09	91.35	0.20	128.90
2011-11-10	91.00	1.28	113.70
2011-11-11	90.88	0.85	40.90
2011-11-12	90.83	0.35	15.50
2011-11-13	90.64	2.95	63.40
2011-11-14	90.25	0.55	125.00
2011-11-15	89.80	0.44	146.80
2011-11-16	89.34	0.23	145.80
2011-11-17	88.86	1.08	156.80
2011-11-18	88.59	3.99	90.40
2011-11-19	88.37	2.05	74.60
2011-11-20	88.28	2.32	30.30
2011-11-21	87.91	0.69	117.60
2011-11-22	87.53	0.25	124.80
2011-11-23	87.12	0.47	130.60
2011-11-24	86.61	0.14	164.00
2011-11-25	86.10	0.00	163.50
2011-11-26	85.63	0.00	153.30
2011-11-27	85.21	0.36	133.50
2011-11-28	84.75	0.00	147.20
2011-11-29	84.34	0.50	132.70
2011-11-30	83.96	1.07	123.30
2011-12-01	83.58	0.77	124.50
2011-12-02	83.20	1.55	124.10
2011-12-03	83.03	2.16	53.90
2011-12-04	83.00	25.13	35.40
2011-12-05	82.64	1.78	117.90
2011-12-06	82.26	0.72	122.90
2011-12-07	81.90	0.07	114.90
2011-12-08	81.56	0.09	109.50
2011-12-09	81.19	0.00	118.30
2011-12-10	80.84	0.22	112.90
2011-12-11	80.49	0.26	115.40
2011-12-12	79.95	0.00	170.50
2011-12-13	79.46	0.00	159.10
2011-12-14	78.98	0.00	153.60
2011-12-15	78.41	0.00	183.60
2011-12-16	77.80	0.00	195.70
2011-12-17	77.21	0.00	190.10
2011-12-18	76.57	0.00	206.10
2011-12-19	75.86	0.00	228.00
2011-12-20	75.25	1.89	195.70
2011-12-21	74.67	3.03	189.10
2011-12-22	74.11	3.75	185.90
2011-12-23	73.60	2.42	166.60
2011-12-24	73.05	0.87	176.90
2011-12-25	72.45	0.56	193.20
2011-12-26	71.77	0.44	218.80
2011-12-27	71.11	0.54	208.60
2011-12-28	70.49	0.44	199.10
2011-12-29	69.93	0.44	178.40
2011-12-30	69.39	0.44	176.20
2011-12-31	69.10	0.43	92.20
2012-01-01	68.81	0.90	94.60
2012-01-02	68.48	0.57	105.60
2012-01-03	67.96	0.32	167.20
2012-01-04	67.44	0.23	168.00
2012-01-05	66.94	0.20	162.00
2012-01-06	66.30	0.08	205.70
2012-01-07	65.68	0.30	199.00
2012-01-08	65.07	0.37	195.60
2012-01-09	64.39	0.00	219.00
2012-01-10	63.69	0.00	226.20
2012-01-11	62.96	0.00	234.80
2012-01-12	62.19	0.00	247.30
2012-01-13	61.42	0.00	246.60
2012-01-14	60.67	0.00	240.00
2012-01-15	59.92	0.00	240.70
2012-01-16	59.09	0.00	266.20
2012-01-17	58.35	0.09	240.80
2012-01-18	57.63	0.16	228.70
2012-01-19	56.97	0.50	212.30
2012-01-20	56.36	0.64	196.80
2012-01-21	55.79	0.72	184.20
2012-01-22	55.29	0.85	162.60
2012-01-23	54.64	0.56	210.60
2012-01-24	54.00	0.21	204.40
2012-01-25	53.37	0.04	202.30
2012-01-26	52.77	0.07	191.60
2012-01-27	52.12	2.46	212.50
2012-01-28	51.45	0.00	214.10
2012-01-29	50.73	0.00	233.00
2012-01-30	49.86	0.00	279.30
2012-01-31	48.97	0.00	283.90
2012-02-01	48.00	0.00	312.20
2012-02-02	46.94	0.00	341.40
2012-02-03	45.78	0.00	372.50
2012-02-04	44.62	0.00	371.70
2012-02-05	43.52	0.00	354.10
2012-02-06	42.37	0.00	369.70
2012-02-07	41.21	0.00	372.30
2012-02-08	40.05	0.00	373.10
2012-02-09	38.90	0.00	370.90
2012-02-10	37.75	0.00	369.70
2012-02-11	36.64	0.00	355.50
2012-02-12	35.56	0.00	348.80
2012-02-13	34.51	0.00	335.70
2012-02-14	33.65	0.00	276.80
2012-02-15	32.89	0.00	243.60
2012-02-16	32.19	0.11	225.50
2012-02-17	31.52	0.00	215.90
2012-02-18	30.89	0.29	201.50
2012-02-19	30.25	0.29	207.00
