# gas storage file
# United Kingdom (Post-Brexit)
# date	percent full	injection	withdrawal
2021-01-02	86.44	3.57	209.40
2021-01-03	85.71	3.57	114.20
2021-01-04	83.57	3.33	326.40
2021-01-05	81.07	3.33	379.90
2021-01-06	78.53	3.33	386.80
2021-01-07	74.54	3.34	605.50
2021-01-08	70.76	3.33	572.80
2021-01-09	68.26	3.33	380.90
2021-01-10	67.41	87.35	215.20
2021-01-11	67.53	174.71	157.80
2021-01-12	67.83	180.38	135.30
2021-01-13	67.38	92.61	159.20
2021-01-14	66.88	60.86	136.80
2021-01-15	65.11	3.33	270.90
2021-01-16	67.34	385.80	49.90
2021-01-17	70.02	453.10	50.10
2021-01-18	70.47	130.83	62.90
2021-01-19	72.91	334.78	50.00
2021-01-20	73.14	153.40	117.90
2021-01-21	72.47	10.22	111.50
2021-01-22	71.64	3.33	128.60
2021-01-23	70.60	55.93	213.20
2021-01-24	67.55	3.33	464.50
2021-01-25	65.76	3.33	273.80
2021-01-26	64.10	3.33	251.90
2021-01-27	64.19	67.07	54.00
2021-01-28	65.41	226.74	42.00
2021-01-29	67.47	351.33	41.00
2021-01-30	68.91	262.86	45.80
2021-01-31	68.70	87.10	118.30
2021-02-01	66.97	3.33	264.90
2021-02-02	69.84	39.26	94.70
2021-02-03	70.16	72.80	41.70
2021-02-04	69.29	10.21	93.90
2021-02-05	68.20	11.21	116.10
2021-02-06	68.77	146.97	91.30
2021-02-07	68.02	45.86	118.10
2021-02-08	63.65	3.33	424.10
2021-02-09	60.00	3.33	374.70
2021-02-10	57.83	3.33	418.20
2021-02-11	51.67	3.33	405.50
2021-02-12	49.55	3.33	364.60
2021-02-13	44.74	3.33	471.20
2021-02-14	40.75	3.33	377.90
2021-02-15	36.91	3.33	215.70
2021-02-16	34.34	9.68	231.50
2021-02-17	32.90	3.33	141.80
2021-02-18	31.96	3.33	94.10
2021-02-19	30.44	3.33	172.30
2021-02-20	32.80	269.85	41.60
2021-02-21	33.51	109.27	41.60
2021-02-22	32.13	3.33	150.20
2021-02-23	32.44	68.53	37.90
2021-02-24	34.12	161.79	0.10
2021-02-25	34.40	50.12	23.30
2021-02-26	33.86	3.33	55.60
2021-02-27	33.22	3.33	64.70
2021-02-28	32.01	3.34	119.40
2021-03-01	29.02	3.33	294.60
2021-03-02	25.92	3.33	301.40
2021-03-03	22.43	3.33	338.70
2021-03-04	20.85	3.33	154.00
2021-03-05	19.84	3.33	100.10
2021-03-06	17.94	3.33	185.80
2021-03-07	16.34	3.33	156.00
2021-03-08	14.39	3.33	190.30
2021-03-09	13.69	30.70	98.10
2021-03-10	12.76	3.33	91.80
2021-03-11	14.22	142.24	1.50
2021-03-12	16.03	174.88	0.10
2021-03-13	17.71	162.10	0.10
2021-03-14	19.45	167.82	0.10
2021-03-15	20.63	115.00	0.10
2021-03-16	23.10	238.21	0.00
2021-03-17	21.40	3.33	171.40
2021-03-18	20.91	36.78	83.30
2021-03-19	20.85	10.45	15.40
2021-03-20	21.52	142.91	0.10
2021-03-21	21.74	5.28	61.60
2021-03-22	21.63	31.63	37.70
2021-03-23	24.42	268.79	0.00
2021-03-24	25.58	113.25	0.80
2021-03-25	28.26	258.57	0.00
2021-03-26	30.81	245.87	0.00
2021-03-27	33.61	275.74	5.30
2021-03-28	36.33	289.25	27.70
2021-03-29	40.36	388.64	0.00
2021-03-30	43.84	335.68	0.00
2021-03-31	47.13	316.84	0.00
2021-04-01	47.25	31.72	80.20
2021-04-02	47.01	18.92	41.70
2021-04-03	46.50	28.99	78.80
2021-04-04	48.75	229.44	12.50
2021-04-05	48.50	96.72	60.70
2021-04-06	44.91	0.88	346.40
2021-04-07	40.29	0.00	461.10
2021-04-08	38.25	17.20	213.70
2021-04-09	35.98	3.00	215.50
2021-04-10	32.39	3.00	342.70
