# gas storage file
# United Kingdom (Pre-Brexit)
# date	percent full	injection	withdrawal
2012-05-01	9.35	63.80	0.00
2012-05-02	22.45	89.37	0.00
2012-05-03	23.74	14.65	5.90
2012-05-04	36.82	89.37	0.00
2012-05-05	45.03	55.98	0.00
2012-05-06	54.80	66.70	0.00
2012-05-07	64.97	69.34	0.00
2012-05-08	78.05	89.38	0.00
2012-05-09	79.34	8.80	0.00
2012-05-10	79.94	4.02	0.00
2012-05-11	70.07	7.32	74.70
2012-05-12	61.08	0.00	61.30
2012-05-13	52.01	0.00	61.90
2012-05-14	42.12	0.00	67.50
2012-05-15	29.83	0.00	84.00
2012-05-16	19.58	0.00	70.00
2012-05-17	13.13	0.00	44.00
2012-05-18	17.42	29.31	0.00
2012-05-19	26.27	60.31	0.00
2012-05-20	32.97	45.79	0.00
2012-05-21	27.88	25.35	60.10
2012-05-22	26.51	4.40	13.90
2012-05-23	14.87	0.00	79.40
2012-05-24	8.28	0.00	45.00
2012-05-25	21.03	87.02	0.00
2012-05-26	34.12	89.38	0.00
2012-05-27	47.87	93.78	0.00
2012-05-28	56.34	57.76	0.00
2012-05-29	45.03	0.00	77.20
2012-05-30	42.87	2.93	17.60
2012-05-31	29.79	0.00	89.40
2012-06-01	25.38	0.00	30.10
2012-06-02	20.60	0.00	32.60
2012-06-03	13.14	0.00	50.90
2012-06-04	8.03	14.65	49.50
2012-06-05	3.44	0.00	31.30
2012-06-06	0.57	0.00	19.60
2012-06-07	5.85	35.94	0.00
2012-06-08	11.63	39.58	0.00
2012-06-09	22.45	73.79	0.00
2012-06-10	32.85	70.95	0.00
2012-06-11	25.20	0.00	52.10
2012-06-12	12.10	0.00	89.40
2012-06-13	6.23	0.00	40.20
2012-06-14	7.56	10.86	1.80
2012-06-15	19.02	78.20	0.00
2012-06-16	28.23	62.98	0.00
2012-06-17	36.64	63.18	5.90
2012-06-18	29.00	4.39	56.60
2012-06-19	29.29	2.00	0.00
2012-06-20	29.29	0.00	0.00
2012-06-21	26.01	0.00	22.30
2012-06-22	30.78	32.53	0.00
2012-06-23	43.44	86.42	0.00
2012-06-24	54.51	75.48	0.00
2012-06-25	58.08	24.46	0.00
2012-06-26	66.93	60.38	0.00
2012-06-27	63.44	0.00	23.80
2012-06-28	68.82	36.72	0.00
2012-06-29	68.82	0.00	0.00
2012-06-30	73.60	32.58	0.00
2012-07-01	75.49	12.90	0.00
2012-07-02	63.69	0.00	80.50
2012-07-03	55.96	0.00	52.80
2012-07-04	51.22	0.00	32.30
2012-07-05	52.01	21.07	15.70
2012-07-06	51.59	11.79	14.70
2012-07-07	59.28	52.48	0.00
2012-07-08	65.95	45.48	0.00
2012-07-09	69.42	48.41	24.60
2012-07-10	71.34	15.58	2.50
2012-07-11	62.53	0.00	60.10
2012-07-12	49.45	0.00	89.40
2012-07-13	35.68	0.00	94.00
2012-07-14	37.85	14.80	0.00
2012-07-15	39.81	13.40	0.00
2012-07-16	39.37	0.00	2.90
2012-07-17	38.53	0.00	5.80
2012-07-18	38.53	0.00	0.00
2012-07-19	38.11	0.00	2.90
2012-07-20	31.88	0.00	42.50
2012-07-21	36.79	33.53	0.00
2012-07-22	48.38	79.09	0.00
2012-07-23	49.67	8.79	0.00
