# gas storage file
# Croatia
# date	percent full	injection	withdrawal
2014-04-01	41.66	0.00	8.30
2014-04-02	41.57	0.00	4.60
2014-04-03	41.51	0.00	3.40
2014-04-04	41.50	0.00	1.10
2014-04-05	41.50	0.00	0.00
2014-04-06	41.50	0.00	0.00
2014-04-07	41.46	0.00	1.90
2014-04-08	41.43	0.00	1.70
2014-04-09	41.32	0.00	6.50
2014-04-10	40.94	0.00	21.60
2014-04-11	40.94	0.00	0.00
2014-04-12	40.94	0.00	0.00
2014-04-13	40.94	0.00	0.00
2014-04-14	40.94	0.00	0.00
2014-04-15	40.94	0.00	0.00
2014-04-16	40.94	0.00	0.00
2014-04-17	40.94	0.00	0.00
2014-04-18	40.99	2.77	0.00
2014-04-19	41.13	8.25	0.00
2014-04-20	41.21	4.46	0.00
2014-04-21	41.28	3.73	0.00
2014-04-22	41.39	6.25	0.00
2014-04-23	41.73	19.60	0.00
2014-04-24	41.77	2.40	0.00
2014-04-25	41.83	3.45	0.00
2014-04-26	41.88	2.66	0.00
2014-04-27	41.94	3.61	0.00
2014-04-28	42.07	7.28	0.00
2014-04-29	42.11	2.40	0.00
2014-04-30	42.06	0.09	0.00
2014-05-01	42.12	3.36	0.00
2014-05-02	42.22	5.34	0.00
2014-05-03	42.40	10.47	0.00
2014-05-04	42.40	0.00	0.00
2014-05-05	42.40	0.00	0.00
2014-05-06	42.46	3.26	0.00
2014-05-07	42.53	4.13	0.00
2014-05-08	42.67	8.12	0.00
2014-05-09	42.91	13.82	0.00
2014-05-10	42.98	4.02	0.00
2014-05-11	43.09	6.14	0.00
2014-05-12	43.17	4.54	0.00
2014-05-13	43.33	9.33	0.00
2014-05-14	43.34	0.43	0.00
2014-05-15	43.36	0.91	0.00
2014-05-16	43.36	0.00	0.00
2014-05-17	43.36	0.00	0.00
2014-05-18	43.50	8.36	0.00
2014-05-19	43.85	19.91	0.00
2014-05-20	44.06	12.27	0.00
2014-05-21	44.14	4.10	0.00
2014-05-22	44.30	9.29	0.00
2014-05-23	44.41	6.30	0.00
2014-05-24	44.50	5.46	0.00
2014-05-25	44.77	14.91	0.00
2014-05-26	44.88	6.56	0.00
2014-05-27	45.17	16.42	0.00
2014-05-28	45.34	10.00	0.00
2014-05-29	45.45	5.88	0.00
2014-05-30	45.62	10.26	0.00
2014-05-31	45.00	8.77	0.00
2014-06-01	45.43	24.50	0.00
2014-06-02	45.82	22.31	0.00
2014-06-03	46.24	24.00	0.00
2014-06-04	46.62	21.95	0.00
2014-06-05	47.08	26.17	0.00
2014-06-06	47.55	26.66	0.00
2014-06-07	48.05	28.51	0.00
2014-06-08	48.53	27.80	0.00
2014-06-09	49.01	27.00	0.00
2014-06-10	49.49	27.85	0.00
2014-06-11	49.94	25.62	0.00
2014-06-12	50.40	26.46	0.00
2014-06-13	50.89	27.77	0.00
2014-06-14	51.46	32.28	0.00
2014-06-15	51.99	30.75	0.00
2014-06-16	52.45	26.40	0.00
2014-06-17	52.92	26.86	0.00
2014-06-18	53.38	26.28	0.00
2014-06-19	53.89	28.66	0.00
2014-06-20	54.36	27.37	0.00
2014-06-21	54.86	28.18	0.00
2014-06-22	55.36	28.71	0.00
2014-06-23	55.84	27.66	0.00
2014-06-24	56.30	26.10	0.00
2014-06-25	56.81	28.88	0.00
2014-06-26	57.27	26.77	0.00
2014-06-27	57.78	28.75	0.00
2014-06-28	58.25	27.16	0.00
2014-06-29	58.70	25.61	0.00
2014-06-30	59.14	25.16	0.00
2014-07-01	59.45	17.68	0.00
2014-07-02	59.71	15.02	0.00
2014-07-03	60.12	23.46	0.00
2014-07-04	60.48	20.16	0.00
2014-07-05	60.76	16.03	0.00
2014-07-06	61.17	23.44	0.00
2014-07-07	61.56	22.57	0.00
2014-07-08	61.88	17.93	0.00
2014-07-09	62.19	17.82	0.00
2014-07-10	62.51	18.40	0.00
2014-07-11	62.83	18.40	0.00
2014-07-12	63.21	21.40	0.00
2014-07-13	63.52	18.23	0.00
2014-07-14	63.89	20.81	0.00
2014-07-15	64.22	18.98	0.00
2014-07-16	64.55	18.62	0.00
2014-07-17	64.90	20.03	0.00
2014-07-18	65.25	20.02	0.00
2014-07-19	65.62	21.08	0.00
2014-07-20	66.03	23.54	0.00
2014-07-21	66.37	19.81	0.00
2014-07-22	66.69	17.88	0.00
2014-07-23	67.00	17.77	0.00
2014-07-24	67.36	20.67	0.00
2014-07-25	67.74	21.50	0.00
2014-07-26	68.11	21.39	0.00
2014-07-27	68.49	21.76	0.00
2014-07-28	68.83	19.51	0.00
2014-07-29	69.17	19.29	0.00
2014-07-30	69.49	18.41	0.00
2014-07-31	69.87	21.58	0.00
2014-08-01	70.26	22.30	0.00
2014-08-02	70.67	23.21	0.00
2014-08-03	71.05	22.08	0.00
2014-08-04	71.42	21.20	0.00
2014-08-05	71.79	21.29	0.00
2014-08-06	72.16	20.75	0.00
2014-08-07	72.53	21.23	0.00
2014-08-08	72.86	18.79	0.00
2014-08-09	73.30	25.40	0.00
