# gas storage file
# Hungary
# date	percent full	injection	withdrawal
2011-01-02	76.96	0.00	363.00
2011-01-03	76.37	0.00	395.90
2011-01-04	75.77	0.00	404.20
2011-01-05	75.17	0.00	398.70
2011-01-06	74.59	0.00	387.50
2011-01-07	74.09	0.00	330.20
2011-01-08	73.70	0.00	263.50
2011-01-09	73.29	0.00	272.50
2011-01-10	72.85	0.00	293.90
2011-01-11	72.46	0.00	263.60
2011-01-12	72.07	0.00	258.80
2011-01-13	71.66	0.00	275.00
2011-01-14	71.31	0.00	228.40
2011-01-15	71.03	0.00	187.70
2011-01-16	70.68	0.00	232.50
2011-01-17	70.23	0.00	300.00
2011-01-18	69.79	0.00	298.30
2011-01-19	69.33	0.00	306.10
2011-01-20	68.85	0.00	321.80
2011-01-21	68.33	0.00	343.80
2011-01-22	67.81	0.92	349.40
2011-01-23	67.31	0.31	333.60
2011-01-24	66.75	0.00	372.80
2011-01-25	66.14	0.00	410.90
2011-01-26	65.57	0.00	377.10
2011-01-27	64.98	0.00	395.60
2011-01-28	64.36	0.00	416.40
2011-01-29	63.77	0.00	394.90
2011-01-30	63.16	0.00	403.30
2011-01-31	62.51	0.00	439.10
2011-02-01	61.89	0.00	412.50
2011-02-02	61.28	0.00	411.80
2011-02-03	60.67	0.00	402.50
2011-02-04	60.16	0.00	345.40
2011-02-05	59.80	0.35	237.50
2011-02-06	59.52	0.50	187.30
2011-02-07	59.19	0.00	220.80
2011-02-08	58.87	0.56	209.90
2011-02-09	58.52	0.00	235.50
2011-02-10	58.17	0.15	232.60
2011-02-11	57.82	0.41	231.80
2011-02-12	57.52	0.85	202.20
2011-02-13	57.13	0.46	262.80
2011-02-14	56.69	0.00	294.00
2011-02-15	56.22	0.00	312.10
2011-02-16	55.77	0.00	297.00
2011-02-17	55.33	0.00	296.20
2011-02-18	54.95	0.00	246.00
2011-02-19	54.68	32.60	214.30
2011-02-20	54.33	26.85	260.10
2011-02-21	53.87	11.00	320.60
2011-02-22	53.36	0.00	337.90
2011-02-23	52.85	0.00	340.80
2011-02-24	52.34	0.00	345.80
2011-02-25	51.81	0.00	349.30
2011-02-26	51.32	0.42	327.50
2011-02-27	50.87	0.24	301.10
2011-02-28	50.45	0.00	279.20
2011-03-01	50.11	0.00	226.10
2011-03-02	49.72	21.01	225.90
2011-03-03	49.44	16.88	205.90
2011-03-04	49.24	18.40	154.60
2011-03-05	49.04	26.16	156.50
2011-03-06	48.86	29.61	148.90
2011-03-07	48.63	26.51	182.90
2011-03-08	48.40	29.60	184.20
2011-03-09	48.20	35.17	166.60
2011-03-10	47.90	27.43	234.30
2011-03-11	47.71	41.56	169.40
2011-03-12	47.57	41.59	131.00
2011-03-13	47.51	48.90	90.20
2011-03-14	47.48	53.16	73.70
2011-03-15	47.46	53.15	65.70
2011-03-16	47.41	40.75	75.90
2011-03-17	47.34	40.04	86.80
2011-03-18	47.20	37.34	132.50
2011-03-19	47.00	34.91	170.50
2011-03-20	46.80	35.71	165.80
2011-03-21	46.58	33.17	180.50
2011-03-22	46.40	36.99	156.60
2011-03-23	46.27	36.18	124.30
2011-03-24	46.17	42.16	113.10
2011-03-25	46.10	43.27	86.20
2011-03-26	46.09	59.24	70.80
2011-03-27	46.00	44.44	100.00
2011-03-28	45.85	42.25	147.30
2011-03-29	45.75	49.83	112.50
2011-03-30	45.68	50.90	100.40
2011-03-31	45.63	52.28	84.50
2011-04-01	45.62	10.27	19.30
2011-04-02	45.60	29.45	0.00
2011-04-03	45.65	32.86	0.00
2011-04-04	45.69	26.70	0.00
2011-04-05	45.71	16.09	0.20
2011-04-06	45.76	32.42	0.00
2011-04-07	45.84	52.00	0.00
2011-04-08	45.86	19.25	0.00
2011-04-09	45.89	18.93	0.10
2011-04-10	45.92	19.62	0.00
2011-04-11	45.95	22.19	0.00
2011-04-12	46.02	45.72	0.00
2011-04-13	46.06	30.64	0.00
2011-04-14	46.09	20.26	0.00
2011-04-15	46.12	23.21	0.00
2011-04-16	46.18	43.40	0.00
2011-04-17	46.23	34.61	0.00
2011-04-18	46.30	48.40	0.00
2011-04-19	46.39	61.00	0.00
2011-04-20	46.47	57.02	0.00
2011-04-21	46.59	77.45	0.00
2011-04-22	46.70	74.47	0.00
