# gas storage file
# Ireland
# date	percent full	injection	withdrawal
2016-04-05	60.19	0.00	3.80
2016-04-06	60.03	0.00	3.80
2016-04-07	59.87	0.00	3.70
2016-04-08	59.59	0.00	6.60
2016-04-09	59.31	0.00	6.70
2016-04-10	59.02	0.00	6.60
2016-04-11	58.74	0.00	6.60
2016-04-12	58.45	0.00	7.00
2016-04-13	58.04	0.00	9.60
2016-04-14	57.64	0.00	9.50
2016-04-15	57.29	0.00	8.10
2016-04-16	57.13	0.00	3.80
2016-04-17	56.97	0.00	3.70
2016-04-18	56.82	0.00	3.70
2016-04-19	56.48	0.00	8.10
2016-04-20	56.22	0.00	6.00
2016-04-21	55.88	0.00	8.10
2016-04-22	55.53	0.00	8.10
2016-04-23	54.87	0.00	15.40
2016-04-24	54.63	0.00	5.90
2016-04-25	54.47	0.00	3.70
2016-04-26	53.96	0.00	11.90
2016-04-27	53.24	0.00	16.80
2016-04-28	52.53	0.00	16.80
2016-04-29	51.81	0.00	16.70
