# gas storage file
# Italy
# date	percent full	injection	withdrawal
2011-01-02	79.94	0.00	303.40
2011-01-03	79.48	0.00	713.20
2011-01-04	78.88	0.00	945.10
2011-01-05	78.36	0.00	826.20
2011-01-06	77.98	0.00	607.80
2011-01-07	77.74	0.00	376.50
2011-01-08	77.45	0.00	461.20
2011-01-09	77.24	0.00	323.10
2011-01-10	76.80	0.00	701.20
2011-01-11	76.46	0.00	533.40
2011-01-12	76.06	0.00	635.30
2011-01-13	75.58	0.00	753.30
2011-01-14	75.08	0.00	786.40
2011-01-15	74.90	0.00	281.90
2011-01-16	74.75	0.00	233.50
2011-01-17	74.08	0.00	1067.00
2011-01-18	73.47	0.00	962.60
2011-01-19	72.81	0.00	1031.80
2011-01-20	72.26	0.00	878.20
2011-01-21	71.72	0.00	845.40
2011-01-22	71.44	0.00	446.50
2011-01-23	71.17	0.00	430.50
2011-01-24	70.60	0.00	887.50
2011-01-25	69.93	0.00	1068.00
2011-01-26	69.30	0.00	989.90
2011-01-27	68.81	0.00	771.90
2011-01-28	68.40	0.00	645.80
2011-01-29	68.18	0.00	357.10
2011-01-30	68.04	0.00	221.40
2011-01-31	67.57	0.00	741.90
2011-02-01	67.04	0.00	824.70
2011-02-02	66.53	0.00	814.20
2011-02-03	66.04	0.00	764.20
2011-02-04	65.72	0.00	506.10
2011-02-05	65.65	0.00	108.50
2011-02-06	65.61	0.00	75.30
2011-02-07	65.30	0.00	492.00
2011-02-08	64.94	0.00	555.40
2011-02-09	64.63	0.00	501.20
2011-02-10	64.31	0.00	496.40
2011-02-11	64.05	0.00	415.60
2011-02-12	64.02	0.00	51.70
2011-02-13	64.01	0.00	0.30
2011-02-14	63.65	0.00	574.60
2011-02-15	63.20	0.00	709.40
2011-02-16	62.66	0.00	854.10
2011-02-17	62.29	0.00	581.50
2011-02-18	62.12	0.00	276.70
2011-02-19	62.19	117.15	0.00
2011-02-20	62.21	30.02	0.00
2011-02-21	61.80	0.00	652.70
2011-02-22	61.19	0.00	958.40
2011-02-23	60.63	0.00	888.80
2011-02-24	59.99	0.00	1000.20
2011-02-25	59.42	0.00	909.20
2011-02-26	59.04	0.00	595.20
2011-02-27	58.69	0.00	554.20
2011-02-28	58.40	0.00	448.80
2011-03-01	57.76	0.00	1016.10
2011-03-02	56.96	0.00	1257.80
2011-03-03	56.16	0.00	1267.40
2011-03-04	55.58	0.00	911.10
2011-03-05	55.34	0.00	388.20
2011-03-06	55.29	0.00	80.00
2011-03-07	54.71	0.00	906.50
2011-03-08	54.15	0.00	881.20
2011-03-09	53.58	0.00	904.40
2011-03-10	53.07	0.00	811.70
