# gas storage file
# Latvia
# date	percent full	injection	withdrawal
2011-01-02	56.01	0.00	120.70
2011-01-03	55.50	0.00	125.00
2011-01-04	54.97	0.00	126.90
2011-01-05	54.46	0.00	123.80
2011-01-06	53.92	0.00	131.80
2011-01-07	53.46	0.00	111.60
2011-01-08	53.04	0.00	101.10
2011-01-09	52.64	0.00	96.00
2011-01-10	52.23	0.00	98.70
2011-01-11	51.78	0.00	109.60
2011-01-12	51.37	0.00	100.60
2011-01-13	51.00	0.00	88.20
2011-01-14	50.54	0.00	112.10
2011-01-15	49.99	0.00	134.10
2011-01-16	49.48	0.00	122.40
2011-01-17	49.07	0.00	100.10
2011-01-18	48.66	0.00	98.00
2011-01-19	48.37	0.00	71.50
2011-01-20	47.93	0.00	106.20
2011-01-21	47.44	0.00	119.10
2011-01-22	46.96	0.00	116.80
2011-01-23	46.44	0.00	124.70
2011-01-24	45.93	0.00	122.90
2011-01-25	45.44	0.00	118.70
2011-01-26	44.88	0.00	137.40
2011-01-27	44.44	0.00	105.30
2011-01-28	43.97	0.00	114.80
2011-01-29	43.54	0.00	102.80
2011-01-30	43.10	0.00	107.90
2011-01-31	42.63	0.00	114.10
2011-02-01	42.03	0.00	145.20
2011-02-02	41.53	0.00	119.40
2011-02-03	40.93	0.00	145.20
2011-02-04	40.31	0.00	150.20
2011-02-05	39.73	0.00	140.40
2011-02-06	39.16	0.00	139.70
2011-02-07	38.56	0.00	145.80
2011-02-08	37.92	0.00	153.20
2011-02-09	37.31	0.00	148.80
2011-02-10	36.54	0.00	187.30
2011-02-11	35.72	0.00	196.40
2011-02-12	34.89	0.00	202.70
2011-02-13	33.99	0.00	216.50
2011-02-14	33.04	0.00	231.70
2011-02-15	32.07	0.00	234.50
2011-02-16	31.11	0.00	230.90
2011-02-17	30.17	0.00	229.20
2011-02-18	29.20	0.00	235.60
2011-02-19	28.24	0.00	232.00
2011-02-20	27.30	0.00	227.60
2011-02-21	26.37	0.00	223.70
2011-02-22	25.44	0.00	225.60
2011-02-23	24.51	0.00	226.40
2011-02-24	23.57	0.00	226.40
2011-02-25	22.64	0.00	226.60
2011-02-26	21.77	0.00	209.30
2011-02-27	20.97	0.00	194.90
2011-02-28	20.16	0.00	196.50
2011-03-01	19.39	0.00	186.00
2011-03-02	18.73	0.00	158.90
2011-03-03	18.01	0.00	174.60
2011-03-04	17.35	0.00	160.70
2011-03-05	16.81	0.00	130.60
2011-03-06	16.27	0.00	130.80
2011-03-07	15.76	0.00	124.00
2011-03-08	15.27	0.00	118.50
2011-03-09	14.85	0.00	101.80
2011-03-10	14.46	0.00	95.30
2011-03-11	13.95	0.00	123.30
2011-03-12	13.45	0.00	119.90
2011-03-13	12.98	0.00	113.10
2011-03-14	12.51	0.00	114.30
2011-03-15	11.97	0.00	130.90
2011-03-16	11.38	0.00	144.20
2011-03-17	10.81	0.00	137.20
2011-03-18	10.26	0.00	134.20
2011-03-19	9.71	0.00	133.10
2011-03-20	9.17	0.00	129.90
2011-03-21	8.62	0.00	133.60
2011-03-22	8.08	0.00	131.40
2011-03-23	7.61	0.00	112.70
2011-03-24	7.11	0.00	121.30
2011-03-25	6.54	0.00	137.20
2011-03-26	6.01	0.00	128.70
2011-03-27	5.51	0.00	121.40
2011-03-28	4.99	0.00	126.00
2011-03-29	4.49	0.00	120.00
2011-03-30	4.04	0.00	110.90
2011-03-31	3.57	0.00	111.90
2011-04-01	3.22	0.00	86.60
2011-04-02	3.05	0.00	40.60
2011-04-03	2.94	0.00	25.70
2011-04-04	2.79	0.00	36.30
2011-04-05	2.64	0.00	36.90
2011-04-06	2.47	0.00	40.60
2011-04-07	2.37	0.00	25.40
2011-04-08	2.16	0.00	50.70
2011-04-09	1.97	0.00	45.40
2011-04-10	1.79	0.00	44.70
2011-04-11	1.79	0.00	0.00
2011-04-12	1.79	0.00	0.00
2011-04-13	1.79	0.00	0.00
2011-04-14	1.79	0.00	0.00
2011-04-15	1.79	0.00	0.00
2011-04-16	1.79	0.00	0.00
2011-04-17	1.79	0.00	0.00
2011-04-18	1.79	0.00	0.00
2011-04-19	1.79	0.00	0.00
2011-04-20	1.79	0.00	0.00
2011-04-21	1.79	0.00	0.00
2011-04-22	1.79	0.00	0.00
2011-04-23	1.79	0.00	0.00
2011-04-24	1.79	0.00	0.00
2011-04-25	1.79	0.00	0.00
2011-04-26	2.08	71.62	0.00
2011-04-27	2.43	83.27	0.00
2011-04-28	2.81	93.68	0.00
2011-04-29	3.20	94.10	0.00
2011-04-30	3.72	125.73	0.00
2011-05-01	4.26	129.45	0.00
2011-05-02	4.78	126.53	0.00
2011-05-03	5.36	140.59	0.00
2011-05-04	5.95	142.11	0.00
2011-05-05	6.52	140.27	0.00
2011-05-06	7.10	140.41	0.00
2011-05-07	7.70	144.93	0.00
2011-05-08	8.32	148.73	0.00
2011-05-09	8.94	151.75	0.00
2011-05-10	9.56	150.02	0.00
2011-05-11	10.19	151.31	0.00
2011-05-12	10.80	149.07	0.00
2011-05-13	11.42	148.37	0.00
2011-05-14	12.04	151.09	0.00
2011-05-15	12.66	150.47	0.00
2011-05-16	13.27	148.72	0.00
2011-05-17	13.88	145.82	0.00
2011-05-18	14.47	142.74	0.00
2011-05-19	15.07	146.84	0.00
2011-05-20	15.69	150.00	0.00
2011-05-21	16.33	154.60	0.00
2011-05-22	16.97	155.74	0.00
2011-05-23	17.62	156.85	0.00
2011-05-24	18.26	154.49	0.00
2011-05-25	18.93	162.95	0.00
2011-05-26	19.60	160.85	0.00
2011-05-27	20.26	161.99	0.00
2011-05-28	20.92	159.78	0.00
2011-05-29	21.57	155.89	0.00
2011-05-30	22.20	152.91	0.00
2011-05-31	22.84	155.63	0.00
2011-06-01	23.49	155.92	0.00
2011-06-02	24.11	151.54	0.00
2011-06-03	24.74	151.32	0.00
2011-06-04	25.37	154.02	0.00
2011-06-05	26.01	154.74	0.00
2011-06-06	26.65	154.48	0.00
2011-06-07	27.29	155.56	0.00
2011-06-08	27.94	158.09	0.00
2011-06-09	28.59	157.23	0.00
2011-06-10	29.23	153.94	0.00
2011-06-11	29.85	150.47	0.00
2011-06-12	30.53	165.75	0.00
2011-06-13	31.20	160.08	0.00
2011-06-14	31.85	157.63	0.00
2011-06-15	32.49	154.76	0.00
2011-06-16	33.08	143.48	0.00
2011-06-17	33.67	144.10	0.00
2011-06-18	34.28	147.27	0.00
2011-06-19	34.95	162.44	0.00
2011-06-20	35.62	162.03	0.00
2011-06-21	36.29	161.86	0.00
2011-06-22	36.97	165.56	0.00
2011-06-23	37.66	165.32	0.00
2011-06-24	38.34	165.63	0.00
2011-06-25	39.03	166.61	0.00
2011-06-26	39.71	166.62	0.00
2011-06-27	40.38	161.07	0.00
2011-06-28	41.07	166.65	0.00
2011-06-29	41.74	163.92	0.00
2011-06-30	42.44	168.53	0.00
2011-07-01	43.12	165.07	0.00
2011-07-02	43.73	148.14	0.00
2011-07-03	44.35	148.63	0.00
2011-07-04	45.02	162.39	0.00
2011-07-05	45.68	160.06	0.00
2011-07-06	46.35	162.64	0.00
2011-07-07	46.95	144.21	0.00
2011-07-08	47.63	166.73	0.00
2011-07-09	48.35	172.57	0.00
2011-07-10	49.04	167.68	0.00
2011-07-11	49.68	156.30	0.00
2011-07-12	50.38	167.44	0.00
2011-07-13	51.08	169.57	0.00
2011-07-14	51.75	162.77	0.00
2011-07-15	52.38	153.11	0.00
2011-07-16	52.84	110.68	0.00
2011-07-17	53.39	133.40	0.00
2011-07-18	53.93	131.03	0.00
2011-07-19	54.47	130.90	0.00
2011-07-20	55.01	132.02	0.00
2011-07-21	55.55	129.96	0.00
2011-07-22	56.10	132.22	0.00
2011-07-23	56.65	134.75	0.00
2011-07-24	57.21	134.88	0.00
2011-07-25	57.77	134.72	0.00
2011-07-26	58.33	135.73	0.00
2011-07-27	58.87	131.29	0.00
2011-07-28	59.41	131.61	0.00
2011-07-29	59.94	126.68	0.00
2011-07-30	60.48	130.85	0.00
2011-07-31	61.03	134.02	0.00
2011-08-01	61.56	127.78	0.00
2011-08-02	62.09	130.07	0.00
2011-08-03	62.61	126.10	0.00
2011-08-04	63.14	128.25	0.00
2011-08-05	63.68	130.05	0.00
2011-08-06	64.23	133.28	0.00
2011-08-07	64.78	133.97	0.00
2011-08-08	65.33	131.06	0.00
