# gas storage file
# Netherlands
# date	percent full	injection	withdrawal
2011-01-02	80.82	11.20	383.10
2011-01-03	80.42	10.05	521.70
2011-01-04	79.95	30.02	531.80
2011-01-05	79.49	29.52	529.90
2011-01-06	79.02	20.45	358.00
2011-01-07	78.66	25.09	303.50
2011-01-08	78.45	44.00	198.90
2011-01-09	78.26	16.24	295.40
2011-01-10	77.93	21.29	358.00
2011-01-11	77.59	22.43	434.80
2011-01-12	77.22	24.37	312.40
2011-01-13	76.94	17.71	363.70
2011-01-14	76.63	25.22	375.40
2011-01-15	76.32	51.25	336.30
2011-01-16	76.07	63.70	349.30
2011-01-17	75.75	33.79	380.60
2011-01-18	75.39	14.53	350.10
2011-01-19	75.08	20.53	329.10
2011-01-20	74.77	9.95	470.80
2011-01-21	74.30	14.87	598.50
2011-01-22	73.79	16.61	353.20
2011-01-23	73.49	30.58	312.70
2011-01-24	73.17	12.50	378.10
2011-01-25	72.82	11.76	408.70
2011-01-26	72.41	10.13	463.30
2011-01-27	71.86	8.66	482.10
2011-01-28	71.23	13.31	539.40
2011-01-29	70.68	20.15	533.50
2011-01-30	70.11	11.11	537.10
2011-01-31	69.51	2.53	544.40
2011-02-01	68.87	13.83	566.90
2011-02-02	68.34	23.94	501.60
2011-02-03	67.97	27.10	333.70
2011-02-04	67.67	28.05	321.00
2011-02-05	67.46	73.54	367.70
2011-02-06	67.18	66.59	357.80
2011-02-07	66.88	61.48	344.20
2011-02-08	66.57	38.87	395.60
2011-02-09	66.19	19.42	381.60
2011-02-10	65.83	8.62	431.90
2011-02-11	65.46	22.44	568.70
2011-02-12	64.95	25.77	284.80
2011-02-13	64.71	29.16	273.00
2011-02-14	64.47	33.96	274.90
2011-02-15	64.20	10.56	308.60
2011-02-16	63.91	27.22	247.10
2011-02-17	63.73	24.90	85.00
2011-02-18	63.58	21.18	125.00
2011-02-19	63.47	36.88	148.20
2011-02-20	63.26	16.50	107.10
2011-02-21	63.00	27.09	217.90
2011-02-22	62.69	40.24	297.30
2011-02-23	62.47	38.88	313.50
2011-02-24	62.28	88.29	121.10
2011-02-25	62.30	119.52	40.60
2011-02-26	62.32	49.47	128.90
2011-02-27	62.20	31.36	140.90
2011-02-28	62.06	20.58	141.90
2011-03-01	61.94	13.19	212.30
2011-03-02	61.79	32.82	327.70
2011-03-03	61.46	16.60	279.00
2011-03-04	61.23	25.59	208.70
