# gas storage file
# Poland
# date	percent full	injection	withdrawal
2011-01-02	81.09	0.00	22.10
2011-01-03	80.10	0.00	77.20
2011-01-04	78.82	0.00	99.30
2011-01-05	77.11	0.00	132.40
2011-01-06	75.83	0.00	99.30
2011-01-07	75.26	11.03	55.20
2011-01-08	75.26	33.09	33.10
2011-01-09	75.69	55.15	22.10
2011-01-10	75.40	22.06	44.10
2011-01-11	74.98	0.00	33.10
2011-01-12	74.69	0.00	22.10
2011-01-13	74.55	22.06	33.10
2011-01-14	74.55	22.06	22.10
2011-01-15	74.98	44.12	11.00
2011-01-16	75.55	55.15	11.00
2011-01-17	75.83	44.12	22.10
2011-01-18	75.69	11.03	22.10
2011-01-19	75.69	11.03	11.00
2011-01-20	75.55	11.03	22.10
2011-01-21	74.98	0.00	44.10
2011-01-22	74.41	0.00	44.10
2011-01-23	73.84	0.00	44.10
2011-01-24	72.84	0.00	77.20
2011-01-25	71.85	0.00	77.20
2011-01-26	70.99	0.00	66.20
2011-01-27	70.28	0.00	55.20
2011-01-28	69.00	0.00	99.30
2011-01-29	67.29	0.00	132.40
2011-01-30	65.87	0.00	110.30
2011-01-31	64.59	0.00	99.30
2011-02-01	62.88	0.00	132.40
2011-02-02	60.89	0.00	154.40
2011-02-03	59.33	0.00	121.30
2011-02-04	58.62	0.00	55.20
2011-02-05	58.05	0.00	44.10
2011-02-06	58.33	44.12	22.10
2011-02-07	58.47	33.09	22.10
2011-02-08	58.33	11.03	22.10
2011-02-09	57.76	0.00	44.10
2011-02-10	56.77	0.00	77.20
2011-02-11	55.91	0.00	66.20
2011-02-12	55.34	0.00	44.10
2011-02-13	54.49	0.00	66.20
2011-02-14	52.92	0.00	121.30
2011-02-15	50.65	0.00	176.50
2011-02-16	48.09	0.00	198.50
2011-02-17	45.95	0.00	165.50
2011-02-18	44.39	0.00	121.30
2011-02-19	42.97	0.00	110.30
2011-02-20	41.40	0.00	121.30
2011-02-21	38.98	0.00	187.50
2011-02-22	36.14	0.00	220.60
2011-02-23	33.58	0.00	198.50
2011-02-24	31.16	0.00	187.50
2011-02-25	28.88	0.00	176.50
2011-02-26	27.60	0.00	99.30
2011-02-27	27.03	0.00	44.10
2011-02-28	26.46	0.00	44.10
2011-03-01	25.75	0.00	55.20
2011-03-02	25.18	0.00	44.10
2011-03-03	24.75	0.00	33.10
2011-03-04	24.61	0.00	11.00
2011-03-05	24.75	33.09	22.10
2011-03-06	24.90	33.09	22.10
2011-03-07	24.61	0.00	22.10
2011-03-08	24.61	11.03	11.00
2011-03-09	24.61	11.03	11.00
2011-03-10	24.75	33.09	22.10
2011-03-11	25.18	33.09	0.00
2011-03-12	25.75	44.12	0.00
2011-03-13	26.60	66.18	0.00
2011-03-14	27.60	77.21	0.00
2011-03-15	28.60	77.21	0.00
2011-03-16	29.31	55.15	0.00
2011-03-17	29.59	22.06	0.00
2011-03-18	30.16	44.12	0.00
2011-03-19	30.59	33.09	0.00
2011-03-20	30.87	22.06	0.00
2011-03-21	31.16	22.06	0.00
2011-03-22	31.44	22.06	0.00
2011-03-23	32.15	55.15	0.00
2011-03-24	33.01	66.18	0.00
2011-03-25	34.00	77.21	0.00
2011-03-26	34.86	66.18	0.00
2011-03-27	35.57	55.15	0.00
2011-03-28	36.28	55.15	0.00
2011-03-29	36.85	44.12	0.00
2011-03-30	37.42	44.12	0.00
2011-03-31	38.13	55.15	0.00
2011-04-01	38.70	44.12	0.00
2011-04-02	39.12	33.09	0.00
2011-04-03	39.84	55.15	0.00
2011-04-04	39.84	0.00	0.00
2011-04-05	40.26	33.09	0.00
2011-04-06	40.69	33.09	0.00
2011-04-07	40.97	22.06	0.00
2011-04-08	41.54	44.12	0.00
2011-04-09	42.11	44.12	0.00
2011-04-10	42.40	22.06	0.00
2011-04-11	42.68	22.06	0.00
2011-04-12	43.11	33.09	0.00
2011-04-13	43.25	11.03	0.00
2011-04-14	43.25	0.00	0.00
2011-04-15	43.25	0.00	0.00
2011-04-16	43.68	33.09	0.00
2011-04-17	44.39	55.15	0.00
2011-04-18	45.10	55.15	0.00
2011-04-19	45.81	55.15	0.00
2011-04-20	46.52	55.15	0.00
2011-04-21	47.23	55.15	0.00
2011-04-22	48.09	66.18	0.00
2011-04-23	48.80	55.15	0.00
2011-04-24	49.51	55.15	0.00
2011-04-25	50.36	66.18	0.00
2011-04-26	51.07	55.15	0.00
2011-04-27	51.79	55.15	0.00
2011-04-28	52.50	55.15	0.00
2011-04-29	53.21	55.15	0.00
2011-04-30	53.92	55.15	0.00
2011-05-01	54.63	55.15	0.00
2011-05-02	55.49	66.18	0.00
2011-05-03	56.34	66.18	0.00
2011-05-04	56.91	44.12	0.00
2011-05-05	57.48	44.12	0.00
2011-05-06	58.05	44.12	0.00
2011-05-07	58.90	66.18	0.00
2011-05-08	59.90	77.21	0.00
2011-05-09	61.32	110.30	0.00
2011-05-10	62.46	88.24	0.00
2011-05-11	63.59	88.24	0.00
2011-05-12	64.59	77.21	0.00
2011-05-13	65.59	77.21	0.00
2011-05-14	66.58	77.21	0.00
2011-05-15	67.58	77.21	0.00
2011-05-16	68.29	55.15	0.00
2011-05-17	68.57	22.06	0.00
2011-05-18	68.86	22.06	0.00
2011-05-19	69.43	44.12	0.00
2011-05-20	70.28	66.18	0.00
2011-05-21	71.13	66.18	0.00
2011-05-22	72.27	88.24	0.00
2011-05-23	73.27	77.21	0.00
2011-05-24	74.26	77.21	0.00
2011-05-25	75.12	66.18	0.00
2011-05-26	75.83	55.15	0.00
2011-05-27	76.83	77.21	0.00
2011-05-28	77.68	66.18	0.00
2011-05-29	78.82	88.24	0.00
2011-05-30	79.81	77.21	0.00
2011-05-31	80.95	88.24	0.00
2011-06-01	82.09	88.24	0.00
2011-06-02	83.09	77.21	0.00
2011-06-03	84.22	88.24	0.00
2011-06-04	85.36	88.24	0.00
2011-06-05	86.22	66.18	0.00
2011-06-06	87.64	110.30	0.00
2011-06-07	88.78	88.24	0.00
2011-06-08	89.49	55.15	0.00
2011-06-09	90.20	55.15	0.00
2011-06-10	90.63	33.09	0.00
2011-06-11	91.19	44.12	0.00
2011-06-12	91.76	44.12	0.00
2011-06-13	92.19	33.09	0.00
2011-06-14	92.48	22.06	0.00
2011-06-15	92.76	22.06	0.00
2011-06-16	93.04	22.06	0.00
2011-06-17	93.33	22.06	0.00
2011-06-18	93.61	22.06	0.00
2011-06-19	93.61	0.00	0.00
2011-06-20	94.04	33.09	0.00
2011-06-21	94.32	22.06	0.00
2011-06-22	94.61	22.06	0.00
2011-06-23	94.89	22.06	0.00
2011-06-24	95.18	22.06	0.00
2011-06-25	95.61	33.09	0.00
2011-06-26	96.03	33.09	0.00
2011-06-27	96.32	22.06	0.00
2011-06-28	96.60	22.06	0.00
2011-06-29	96.89	22.06	0.00
2011-06-30	97.03	11.03	0.00
2011-07-01	97.03	0.00	0.00
2011-07-02	97.17	11.03	0.00
2011-07-03	97.31	11.03	0.00
2011-07-04	97.31	0.00	0.00
2011-07-05	97.45	11.03	0.00
2011-07-06	97.60	11.03	0.00
2011-07-07	97.60	0.00	0.00
2011-07-08	97.74	11.03	0.00
2011-07-09	97.88	11.03	0.00
2011-07-10	97.88	0.00	0.00
2011-07-11	98.02	11.03	0.00
2011-07-12	98.17	11.03	0.00
2011-07-13	98.31	11.03	0.00
2011-07-14	98.31	0.00	0.00
2011-07-15	98.45	11.03	0.00
2011-07-16	98.59	11.03	0.00
2011-07-17	98.74	11.03	0.00
2011-07-18	98.74	0.00	0.00
2011-07-19	98.88	11.03	0.00
2011-07-20	99.02	11.03	0.00
2011-07-21	99.16	11.03	0.00
2011-07-22	99.16	0.00	0.00
2011-07-23	99.30	11.03	0.00
2011-07-24	99.45	11.03	0.00
2011-07-25	99.45	0.00	0.00
2011-07-26	99.45	0.00	0.00
2011-07-27	99.45	0.00	0.00
