# gas storage file
# Romania
# date	percent full	injection	withdrawal
2012-01-01	57.47	0.00	115.80
2012-01-02	57.06	0.00	124.30
2012-01-03	56.58	0.00	145.90
2012-01-04	56.14	0.00	135.60
2012-01-05	55.73	0.00	123.70
2012-01-06	55.37	0.00	110.00
2012-01-07	55.01	0.00	110.50
2012-01-08	54.63	0.00	113.00
2012-01-09	54.13	0.00	154.30
2012-01-10	53.55	0.00	175.70
2012-01-11	52.99	0.00	170.60
2012-01-12	52.44	0.00	165.00
2012-01-13	51.92	0.00	160.90
2012-01-14	51.37	0.00	165.60
2012-01-15	50.72	0.00	197.80
2012-01-16	50.00	0.00	220.40
2012-01-17	49.24	0.00	228.80
2012-01-18	48.47	0.00	234.70
2012-01-19	47.70	0.00	235.70
2012-01-20	46.95	0.00	226.30
2012-01-21	46.23	0.00	220.20
2012-01-22	45.51	0.00	217.70
2012-01-23	44.80	0.00	215.80
2012-01-24	44.10	0.00	214.40
2012-01-25	43.39	0.00	216.90
2012-01-26	42.68	0.00	213.00
2012-01-27	41.99	0.00	212.10
2012-01-28	41.28	0.00	214.60
2012-01-29	40.56	0.00	219.00
2012-01-30	39.80	0.00	231.20
2012-01-31	39.07	0.00	222.70
2012-02-01	38.35	0.00	217.30
2012-02-02	37.65	0.00	215.10
2012-02-03	36.95	0.00	212.60
2012-02-04	36.27	0.00	207.00
2012-02-05	35.60	0.00	204.00
2012-02-06	34.93	0.00	204.20
2012-02-07	34.26	0.00	202.80
2012-02-08	33.61	0.00	198.20
2012-02-09	32.96	0.00	196.80
2012-02-10	32.32	0.00	193.30
2012-02-11	31.69	0.00	191.90
2012-02-12	31.07	0.00	191.00
2012-02-13	30.44	0.00	188.90
2012-02-14	29.83	0.00	187.50
2012-02-15	29.22	0.00	184.90
2012-02-16	28.63	0.00	180.40
2012-02-17	28.04	0.00	177.10
2012-02-18	27.47	0.00	175.10
2012-02-19	26.90	0.00	172.20
2012-02-20	26.34	0.00	171.80
2012-02-21	25.80	0.00	164.70
2012-02-22	25.26	0.00	162.60
