# gas storage file
# Sweden
# date	percent full	injection	withdrawal
2017-03-18	7.50	0.00	0.00
2017-03-19	7.50	0.00	0.00
2017-03-20	7.50	0.00	0.00
2017-03-21	7.50	0.00	0.00
2017-03-22	7.50	0.00	0.00
2017-03-23	7.50	0.00	0.00
2017-03-24	7.50	0.00	0.00
2017-03-25	7.50	0.00	0.00
2017-03-26	7.50	0.00	0.00
2017-03-27	7.50	0.00	0.00
2017-03-28	7.50	0.00	0.00
2017-03-29	7.50	0.00	0.00
2017-03-30	7.50	0.00	0.00
2017-03-31	7.50	0.00	0.00
2017-04-01	7.50	0.00	0.00
2017-04-02	7.50	0.00	0.00
2017-04-03	7.50	0.00	0.00
2017-04-04	7.50	0.00	0.00
2017-04-05	7.50	0.00	0.00
2017-04-06	7.50	0.00	0.00
2017-04-07	7.50	0.00	0.00
2017-04-08	7.50	0.00	0.00
2017-04-09	7.50	0.00	0.00
2017-04-10	7.50	0.00	0.00
2017-04-11	7.50	0.00	0.00
2017-04-12	7.50	0.00	0.00
2017-04-13	7.50	0.00	0.00
2017-04-14	7.50	0.00	0.00
2017-04-15	7.50	0.00	0.00
2017-04-16	7.50	0.00	0.00
2017-04-17	7.50	0.00	0.00
2017-04-18	7.50	0.00	0.00
2017-04-19	7.50	0.00	0.00
2017-04-20	7.50	0.00	0.00
2017-04-21	7.50	0.00	0.00
2017-04-22	7.50	0.00	0.00
2017-04-23	7.50	0.00	0.00
2017-04-24	7.50	0.00	0.00
2017-04-25	7.50	0.00	0.00
2017-04-26	7.50	0.00	0.00
2017-04-27	7.50	0.00	0.00
2017-04-28	7.50	0.00	0.00
2017-04-29	7.50	0.00	0.00
2017-04-30	7.50	0.00	0.00
2017-05-01	7.50	0.00	0.00
2017-05-02	7.50	0.00	0.00
2017-05-03	7.50	0.00	0.00
2017-05-04	7.50	0.00	0.00
2017-05-05	7.50	0.00	0.00
2017-05-06	7.50	0.00	0.00
2017-05-07	7.50	0.00	0.00
2017-05-08	7.50	0.00	0.00
2017-05-09	7.50	0.00	0.00
2017-05-10	7.50	0.00	0.20
2017-05-11	7.35	0.00	0.00
2017-05-12	7.35	0.00	0.00
2017-05-13	7.35	0.00	0.00
2017-05-14	7.35	0.00	0.00
2017-05-15	7.35	0.00	0.00
2017-05-16	7.32	0.00	0.00
2017-05-17	7.32	0.00	0.00
2017-05-18	7.32	0.00	0.00
2017-05-19	7.32	0.00	0.00
2017-05-20	7.32	0.00	0.00
2017-05-21	7.32	0.00	0.00
2017-05-22	7.32	0.00	0.00
