# gas storage file
# Slovakia
# date	percent full	injection	withdrawal
2011-01-02	72.75	0.00	189.70
2011-01-03	71.99	0.00	223.90
2011-01-04	71.10	0.00	265.80
2011-01-05	70.22	0.00	263.20
2011-01-06	69.50	0.00	215.60
2011-01-07	68.84	0.00	194.70
2011-01-08	68.37	0.00	141.90
2011-01-09	67.95	0.00	123.90
2011-01-10	67.41	0.00	160.00
2011-01-11	66.90	0.00	151.60
2011-01-12	66.54	0.00	108.00
2011-01-13	66.21	0.00	100.20
2011-01-14	66.00	0.00	61.90
2011-01-15	65.78	0.00	64.40
2011-01-16	65.62	0.00	47.90
2011-01-17	65.33	0.00	87.40
2011-01-18	64.94	0.00	115.10
2011-01-19	64.52	0.00	126.50
2011-01-20	64.09	0.00	127.60
2011-01-21	63.62	0.00	140.30
2011-01-22	63.12	0.00	148.10
2011-01-23	62.62	0.00	150.90
2011-01-24	61.96	0.00	194.10
2011-01-25	61.37	0.00	176.70
2011-01-26	60.77	0.00	180.50
2011-01-27	60.11	0.00	195.70
2011-01-28	59.35	0.00	227.20
2011-01-29	58.66	0.00	204.00
2011-01-30	57.94	0.00	208.40
2011-01-31	57.18	0.00	225.80
2011-02-01	56.35	0.00	249.20
2011-02-02	55.63	0.00	211.90
2011-02-03	55.01	0.00	186.70
2011-02-04	54.46	0.00	163.80
2011-02-05	54.02	0.00	130.20
2011-02-06	53.86	0.53	47.90
2011-02-07	53.59	0.53	81.50
2011-02-08	53.19	0.73	121.10
2011-02-09	52.74	0.73	134.00
2011-02-10	52.40	0.73	103.40
2011-02-11	52.00	0.00	116.80
2011-02-12	51.65	0.73	105.90
2011-02-13	51.26	0.73	116.70
2011-02-14	50.75	0.73	152.40
2011-02-15	50.22	0.73	160.30
2011-02-16	49.69	0.73	158.80
2011-02-17	49.21	0.73	144.20
2011-02-18	48.77	0.73	130.40
2011-02-19	48.40	0.73	109.90
2011-02-20	47.99	0.73	125.50
2011-02-21	47.41	0.73	171.80
2011-02-22	46.78	0.73	189.50
2011-02-23	46.13	1.79	195.90
2011-02-24	45.33	1.79	239.10
2011-02-25	44.62	1.79	214.90
2011-02-26	44.06	0.73	165.00
2011-02-27	43.54	0.73	147.80
2011-02-28	43.03	0.73	153.70
2011-03-01	42.50	0.73	160.00
2011-03-02	41.98	0.73	153.90
2011-03-03	41.50	0.73	143.60
2011-03-04	41.09	0.73	124.60
2011-03-05	40.82	0.73	80.50
2011-03-06	40.56	0.73	77.50
2011-03-07	40.10	0.73	139.60
2011-03-08	39.60	0.73	148.90
2011-03-09	39.27	0.73	99.40
2011-03-10	39.05	0.73	64.40
2011-03-11	38.80	0.73	76.00
2011-03-12	38.74	0.73	19.10
2011-03-13	38.69	0.73	16.60
2011-03-14	38.61	0.73	24.20
2011-03-15	38.52	3.38	28.10
2011-03-16	38.47	4.44	20.70
2011-03-17	38.36	0.73	33.10
2011-03-18	38.16	0.73	60.60
2011-03-19	38.00	0.00	48.90
2011-03-20	37.86	0.00	39.80
2011-03-21	37.69	0.00	52.70
2011-03-22	37.54	0.00	42.20
2011-03-23	37.44	0.00	31.30
2011-03-24	37.31	0.73	39.90
2011-03-25	37.21	0.73	31.10
2011-03-26	37.14	0.00	21.00
2011-03-27	37.01	0.00	38.00
2011-03-28	36.87	0.74	43.20
2011-03-29	36.74	0.00	38.30
2011-03-30	36.61	0.00	23.10
2011-03-31	36.51	0.00	29.90
2011-04-01	36.46	0.00	15.10
2011-04-02	36.40	0.00	17.00
2011-04-03	36.36	0.00	13.80
2011-04-04	36.28	0.00	23.30
2011-04-05	36.19	0.00	25.40
2011-04-06	36.15	0.00	13.90
2011-04-07	36.09	0.00	18.00
2011-04-08	36.03	0.00	15.90
2011-04-09	35.99	0.00	11.70
2011-04-10	35.91	0.00	26.50
2011-04-11	35.85	0.00	18.00
2011-04-12	35.79	0.00	15.90
2011-04-13	35.75	0.00	11.70
2011-04-14	35.66	0.00	26.50
2011-04-15	35.58	0.00	25.40
2011-04-16	35.60	10.63	5.30
2011-04-17	35.56	10.64	22.50
2011-04-18	35.54	10.64	16.70
2011-04-19	35.55	10.54	5.00
2011-04-20	35.53	10.57	16.50
2011-04-21	35.53	0.00	0.00
2011-04-22	35.53	0.00	0.00
2011-04-23	35.53	0.00	0.00
2011-04-24	35.57	10.56	0.00
2011-04-25	35.61	10.63	0.00
2011-04-26	35.64	10.60	0.00
2011-04-27	35.64	0.00	0.00
2011-04-28	35.64	0.00	0.00
2011-04-29	35.62	0.00	0.00
2011-04-30	35.62	0.00	0.00
2011-05-01	35.20	136.19	0.00
2011-05-02	35.58	143.49	0.00
2011-05-03	36.06	146.83	0.00
2011-05-04	36.50	136.25	0.00
2011-05-05	36.80	90.51	0.00
2011-05-06	37.23	132.91	0.00
2011-05-07	37.81	175.95	0.00
2011-05-08	38.35	166.91	0.00
2011-05-09	38.84	150.07	0.00
2011-05-10	39.39	166.48	0.00
2011-05-11	39.97	179.94	0.00
2011-05-12	40.56	178.39	0.00
2011-05-13	41.14	177.78	0.00
2011-05-14	41.76	190.86	0.00
2011-05-15	42.38	190.33	0.00
2011-05-16	42.95	172.47	0.00
2011-05-17	43.51	171.33	0.00
2011-05-18	44.10	180.94	0.00
2011-05-19	44.74	198.26	0.00
2011-05-20	45.39	197.61	0.00
2011-05-21	46.09	213.79	0.00
2011-05-22	46.80	217.66	0.00
2011-05-23	47.41	191.51	3.10
2011-05-24	47.73	97.12	2.00
2011-05-25	48.03	96.05	3.00
2011-05-26	48.29	86.22	6.40
2011-05-27	48.59	98.53	6.20
2011-05-28	49.18	179.86	0.00
2011-05-29	49.94	232.21	0.00
2011-05-30	50.65	215.35	0.00
2011-05-31	51.38	222.67	0.00
2011-06-01	51.97	181.31	0.00
2011-06-02	52.65	206.26	0.00
2011-06-03	53.30	198.99	0.00
2011-06-04	54.00	215.34	0.00
2011-06-05	54.69	211.74	0.00
2011-06-06	55.25	171.98	0.00
2011-06-07	55.82	173.08	0.00
2011-06-08	56.37	169.26	0.00
2011-06-09	56.92	166.57	0.00
2011-06-10	57.48	172.90	0.00
2011-06-11	58.11	191.22	0.00
2011-06-12	58.75	197.49	0.00
2011-06-13	59.37	188.83	0.00
2011-06-14	59.94	177.01	0.00
2011-06-15	60.53	180.15	0.00
2011-06-16	61.14	187.25	0.00
2011-06-17	61.73	178.62	0.00
2011-06-18	62.34	188.61	0.00
2011-06-19	62.97	192.41	0.00
2011-06-20	63.57	184.02	0.00
2011-06-21	64.04	143.25	0.00
2011-06-22	64.54	151.45	0.00
2011-06-23	65.07	164.07	0.00
2011-06-24	65.49	127.34	0.00
2011-06-25	65.97	146.57	0.00
2011-06-26	66.45	148.62	0.00
2011-06-27	66.75	90.34	0.00
2011-06-28	67.14	121.51	0.00
2011-06-29	67.50	123.19	0.00
2011-06-30	67.94	133.87	0.00
2011-07-01	68.33	118.31	0.00
2011-07-02	68.96	192.85	0.00
2011-07-03	69.57	189.48	0.00
2011-07-04	70.25	205.69	0.00
2011-07-05	70.83	178.67	0.00
2011-07-06	71.44	187.02	0.00
2011-07-07	72.04	182.56	0.00
2011-07-08	72.66	192.12	0.00
2011-07-09	73.31	196.31	0.00
2011-07-10	74.06	231.65	0.00
2011-07-11	74.79	222.66	0.00
2011-07-12	75.49	214.93	0.00
2011-07-13	76.16	203.32	0.00
2011-07-14	76.79	194.21	0.00
2011-07-15	77.40	186.75	0.00
2011-07-16	78.04	194.97	0.00
