# gas storage file
# Ukraine
# date	percent full	injection	withdrawal
2022-03-03	0.00	0.00	0.00
2022-03-04	0.00	0.00	0.00
2022-03-05	0.00	0.00	0.00
2022-03-06	0.00	0.00	0.00
2022-03-07	0.00	0.00	0.00
2022-03-08	0.00	0.00	0.00
2022-03-09	0.00	0.00	0.00
2022-03-10	0.00	0.00	0.00
2022-03-11	0.00	0.00	0.00
2022-03-12	0.00	0.00	0.00
2022-03-13	0.00	0.00	0.00
2022-03-14	0.00	0.00	0.00
2022-03-15	0.00	0.00	0.00
2022-03-16	0.00	0.00	0.00
2022-03-17	0.00	0.00	0.00
2022-03-18	0.00	0.00	0.00
2022-03-19	0.00	0.00	0.00
2022-03-20	0.00	0.00	0.00
2022-03-21	0.00	0.00	0.00
2022-03-22	0.00	0.00	0.00
2022-03-23	0.00	0.00	0.00
2022-03-24	0.00	0.00	0.00
2022-03-25	0.00	0.00	0.00
2022-03-26	0.00	0.00	0.00
2022-03-27	0.00	0.00	0.00
2022-03-28	0.00	0.00	0.00
2022-03-29	0.00	0.00	0.00
2022-03-30	0.00	0.00	0.00
2022-03-31	0.00	0.00	0.00
2022-04-01	0.00	0.00	0.00
2022-04-02	0.00	0.00	0.00
2022-04-03	0.00	0.00	0.00
2022-04-04	0.00	0.00	0.00
2022-04-05	0.00	0.00	0.00
2022-04-06	0.00	0.00	0.00
2022-04-07	0.00	0.00	0.00
2022-04-08	0.00	0.00	0.00
2022-04-09	0.00	0.00	0.00
2022-04-10	0.00	0.00	0.00
2022-04-11	0.00	0.00	0.00
2022-04-12	0.00	0.00	0.00
2022-04-13	0.00	0.00	0.00
2022-04-14	0.00	0.00	0.00
2022-04-15	0.00	0.00	0.00
2022-04-16	13.90	130.51	131.90
2022-04-17	13.88	80.98	134.80
2022-04-18	13.88	114.52	136.60
2022-04-19	13.87	122.17	136.00
2022-04-20	13.88	144.29	139.90
2022-04-21	13.90	206.08	137.70
2022-04-22	13.91	185.74	140.90
2022-04-23	13.92	182.12	140.90
2022-04-24	13.93	144.21	139.80
2022-04-25	13.92	112.86	137.90
2022-04-26	13.94	214.34	137.10
2022-04-27	13.98	258.55	134.30
2022-04-28	13.94	0.00	134.30
2022-04-29	14.12	353.89	125.40
2022-04-30	14.18	308.01	109.40
2022-05-01	14.23	229.91	87.10
2022-05-02	14.30	293.52	61.10
2022-05-03	14.38	306.14	39.30
2022-05-04	14.48	343.17	39.40
2022-05-05	14.56	314.54	38.90
2022-05-06	14.65	305.40	30.70
2022-05-07	14.74	332.63	30.20
2022-05-08	14.82	247.59	17.80
2022-05-09	14.89	287.41	18.00
2022-05-10	15.00	335.21	17.80
2022-05-11	15.09	309.05	17.70
2022-05-12	15.17	305.75	18.00
2022-05-13	15.27	325.60	7.50
2022-05-14	15.35	267.89	5.70
2022-05-15	15.43	270.43	12.60
2022-05-16	15.53	329.52	18.30
2022-05-17	15.63	324.28	17.90
2022-05-18	15.71	296.06	17.00
2022-05-19	15.81	334.13	5.50
2022-05-20	15.93	363.78	1.40
2022-05-21	16.04	340.75	0.00
2022-05-22	16.14	331.74	0.00
2022-05-23	16.24	346.00	0.10
2022-05-24	16.34	327.77	0.10
2022-05-25	16.46	335.97	0.10
2022-05-26	16.54	311.98	0.30
2022-05-27	16.64	316.92	0.00
2022-05-28	16.74	297.40	0.00
2022-05-29	16.83	294.75	0.00
2022-05-30	16.92	319.39	5.10
2022-05-31	17.03	352.87	5.60
2022-06-01	17.15	387.92	1.90
2022-06-02	17.27	387.78	0.10
2022-06-03	17.39	378.07	0.00
2022-06-04	17.50	365.56	0.00
2022-06-05	17.61	352.38	0.00
2022-06-06	17.71	349.49	0.00
2022-06-07	17.82	347.58	0.10
2022-06-08	17.92	327.39	0.00
2022-06-09	18.03	321.87	0.10
2022-06-10	18.12	315.42	0.00
2022-06-11	18.22	320.77	0.00
2022-06-12	18.33	332.00	0.00
2022-06-13	18.43	356.10	0.10
2022-06-14	18.56	345.68	0.10
2022-06-15	18.66	318.06	0.00
2022-06-16	18.75	301.86	0.00
2022-06-17	18.85	315.80	0.10
2022-06-18	18.95	331.22	0.00
2022-06-19	19.06	356.41	0.00
2022-06-20	19.18	376.10	0.00
2022-06-21	17.29	325.90	0.00
2022-06-22	19.41	364.10	0.00
2022-06-23	19.49	335.58	0.00
2022-06-24	19.60	366.12	0.00
2022-06-25	19.71	363.48	0.00
2022-06-26	19.82	358.92	0.00
2022-06-27	19.94	353.29	0.00
2022-06-28	20.04	336.82	0.10
2022-06-29	20.15	348.19	0.00
2022-06-30	20.25	323.78	0.00
2022-07-01	20.33	288.16	0.00
2022-07-02	20.42	355.33	0.00
2022-07-03	20.53	376.21	0.00
2022-07-04	20.69	371.98	0.00
2022-07-05	20.81	375.09	0.00
2022-07-06	20.91	368.87	0.00
2022-07-07	21.02	356.22	0.00
2022-07-08	21.13	369.49	0.00
2022-07-09	21.24	361.95	0.00
2022-07-10	21.35	355.73	0.00
2022-07-11	21.46	353.38	0.00
2022-07-12	21.56	344.02	0.00
2022-07-13	21.66	349.14	0.00
2022-07-14	21.79	364.98	0.00
2022-07-15	21.89	365.51	0.00
2022-07-16	22.00	367.63	0.00
2022-07-17	22.12	366.70	0.00
2022-07-18	22.23	369.08	0.00
2022-07-19	22.34	369.39	0.10
2022-07-20	22.45	372.95	0.00
2022-07-21	22.57	369.38	0.00
2022-07-22	22.68	369.21	0.20
2022-07-23	22.79	373.25	0.00
2022-07-24	22.91	368.82	0.00
2022-07-25	23.04	396.56	0.00
2022-07-26	23.18	419.21	0.00
